city_code,city,province,observed_so_far,predicted_demand,predicted_remaining,forecast_share,observed_share,pickup_ratio,peak_checkin,owner,action,required_before_spend,evidence_status,priority_reason
1183,tehran,tehran,342710,1175144,832434,0.14068917034448938,0.2916323446318068,0.9428452624822278,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4995,qeshm,hormozgan,451789,1024778,572989,0.12268723374095869,0.44086524105708746,1.2017124713746827,2025-11-26,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2099,kish,hormozgan,338659,740144,401485,0.08861062584283437,0.45755825893339674,0.9601672063606564,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7339,rasht,gilan,205709,645062,439353,0.07722733350190021,0.3188980284065718,1.1288259884908565,2025-11-26,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9356,mashhad,khorasan_razavi,229746,580644,350898,0.06951515952556087,0.3956744580155827,1.3010379317141556,2025-11-26,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8978,ramsar,mazandaran,180762,556118,375356,0.06657888738200318,0.32504252694572017,1.1160012042597898,2025-11-26,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9547,kordan,alborz,73854,388450,314596,0.046505541636018145,0.19012485519371863,1.020428406068917,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9814,bandar_anzali,gilan,70152,257767,187615,0.030860069380593356,0.27215275811100725,1.121682089416973,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7619,isfahan,isfahan,63638,234727,171089,0.028101702333885006,0.27111495481985454,1.0471758621769445,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9770,chalus,mazandaran,50850,213875,163025,0.025605284379980386,0.23775569842197544,1.0975047870272356,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5413,masal,gilan,52095,176678,124583,0.02115203008152507,0.29485844304327646,1.1009666869771553,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7810,nowshahr,mazandaran,44680,169661,124981,0.020311949284356996,0.26334867765721054,1.0868862532537118,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4655,motelghoo,mazandaran,29440,123194,93754,0.014748883244452617,0.2389726772407747,1.1269723623508825,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2949,shahriar,tehran,22473,111685,89212,0.01337101664980998,0.20121771052513768,1.0054948139621502,2025-12-18,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4324,savadkuh,mazandaran,29733,104481,74748,0.012508548064545788,0.28457805725442903,1.07146675691493,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
6520,hormuz_islan,hormozgan,41673,94899,53226,0.011361383436005885,0.4391300224449151,1.3273270410239595,2025-12-17,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7274,shirgah,mazandaran,26072,88598,62526,0.010607022725879612,0.2942730084200546,1.0695619128848388,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
3523,tonekabon,mazandaran,27230,88205,60975,0.010559972454640186,0.3087126580125843,0.9857270302474372,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7127,babolsar,mazandaran,22235,88116,65881,0.010549317304155939,0.2523378274093241,1.026855147338081,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2778,lahijan,gilan,24415,88099,63684,0.010547282050692657,0.27713140898307587,1.1285636892819781,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8545,mahmudabad,mazandaran,20922,87043,66121,0.01042085689438519,0.2403639580437255,1.1052085396046578,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
6886,sari,mazandaran,19049,72212,53163,0.008645277828858648,0.263792721431341,0.9563809761806427,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8715,bandar_abbas,hormozgan,21988,68803,46815,0.008237149649074415,0.3195790881211575,1.2037310880150307,2025-12-17,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9059,karaj,alborz,14907,68059,53152,0.008148077379857791,0.21903054702537506,1.030634394596247,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
6268,namak_abrud,mazandaran,15150,63999,48849,0.00766201096450901,0.23672244878826232,1.1388834491180073,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
1638,noor,mazandaran,13810,60815,47005,0.0072808199629152874,0.22708213434185645,1.1051182318014554,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8999,kashan,isfahan,11422,53494,42072,0.006404344044992031,0.21351927318951658,1.0521800724870969,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4791,fuman,gilan,13881,51119,37238,0.006120007164092191,0.27154287055693577,1.0606892180458671,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5640,kelardasht,mazandaran,11315,44756,33441,0.005358223764864533,0.25281526499240325,0.8981209508832255,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
6248,sorkhrud,mazandaran,9920,43192,33272,0.005170980446242491,0.229672161511391,1.1283230703331897,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5986,damavand,tehran,7545,40587,33042,0.00485910778319235,0.18589696208145465,0.9332165729602218,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2101,masuleh,gilan,8221,32688,24467,0.00391343324751747,0.2514990210474792,1.0256569170174756,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
3365,rudehen,tehran,6220,31821,25601,0.0038096353208900333,0.19546840137016436,0.956581404780374,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2483,dargahan,hormozgan,12248,30602,18354,0.0036636956754934414,0.4002352787399516,1.5539928230415638,2025-11-25,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8856,lavasan,tehran,5817,30542,24725,0.0036565124279759717,0.19045904001047737,1.1045992145005732,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5414,babol,mazandaran,6550,25920,19370,0.003103162927546892,0.2527006172839506,0.9557509406405063,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5297,talesh,gilan,7668,23339,15671,0.002794163563503739,0.3285487810103261,0.9714493286819142,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7221,fereydunkenar,mazandaran,4732,21035,16303,0.002518326858832904,0.2249584026622296,1.1639431175929609,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7399,hengam,hormozgan,9953,20616,10663,0.0024681638470025746,0.4827803647652309,1.2293411326643244,2025-11-22,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2195,amol,mazandaran,4788,19953,15165,0.002388788961934535,0.2399639152007217,0.908759021251675,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4756,royan,mazandaran,4527,19074,14547,0.0022835543858036045,0.23733878578169235,1.157179730669242,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7412,javaherdeh,mazandaran,7458,17518,10060,0.0020972688335172246,0.42573353122502566,0.653464285407507,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9879,chaboksar,gilan,4913,16406,11493,0.0019641393128601204,0.2994636108740705,0.9782780379472588,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
3892,izadshahr,mazandaran,4145,15811,11666,0.0018929054416452127,0.2621592562140282,1.1912374121793166,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2692,astara,gilan,3455,15785,12330,0.0018897927010543092,0.21887868229331645,1.2450759237790952,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
5927,asalem,gilan,5326,15498,10172,0.0018554328337624126,0.34365724609627046,1.1155393446006816,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
6093,qaemshahr,mazandaran,3686,15426,11740,0.0018468129367414491,0.2389472319460651,1.138457284155412,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
3333,behshahr,mazandaran,4150,14892,10742,0.0017828820338359691,0.2786731130808488,0.8915460993329327,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2642,parsian,hormozgan,6478,14159,7681,0.0016951266933308813,0.4575181863125927,1.119768684973349,2025-11-26,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7562,shaft,gilan,4484,13665,9181,0.0016359846221037145,0.32813757775338454,1.1618399703753926,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
1053,abbasabad,mazandaran,2818,13510,10692,0.0016174278993502512,0.2085862324204293,1.0028594629151042,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8979,chamestan,mazandaran,2900,13143,10243,0.0015734903687017285,0.22064977554591797,1.2380681666747675,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4609,chaharbagh,alborz,2709,13051,10342,0.0015624760558416084,0.20757030112635047,1.0543224807717082,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4981,fasham,tehran,1975,12654,10679,0.0015149469014343509,0.15607712976134028,1.0928047193560204,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4235,siahkal,gilan,3024,12087,9063,0.0014470652123942625,0.2501861504095309,1.063605551679579,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8838,rudsar,gilan,2787,11503,8716,0.0013771482698908912,0.24228462140311224,1.1204432534706574,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7201,chamkhaleh,gilan,2835,11119,8284,0.0013311754857790853,0.2549689720298588,1.0998758140082423,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
1299,bagh_bahadoran,isfahan,2300,10798,8498,0.0012927451115606228,0.21300240785330618,0.7219812354436547,2025-11-27,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9951,rudbar,gilan,2025,10164,8139,0.00121684212945936,0.19923258559622195,0.946665425359773,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
2587,langarud,gilan,2525,10002,7477,0.001197447361162192,0.2524495100979804,0.9904459115403742,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7222,malard,tehran,1769,9157,7388,0.0010962832919578277,0.19318554111608605,0.9238678350654413,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8043,nashtarud,mazandaran,2067,8758,6691,0.0010485146959666545,0.23601278830783284,1.1097758757072451,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8304,firuzkuh,tehran,1350,8728,7378,0.0010449230722079197,0.15467461044912925,0.9005335271272737,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
3124,khomam,gilan,2685,8133,5448,0.0009736892009930122,0.3301364810033198,0.9811000142940197,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
8375,zibakenar,gilan,1422,7192,5770,0.0008610319357606963,0.19771968854282537,1.4188712651514164,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
1011,reyneh,mazandaran,813,6126,5313,0.0007334095715336521,0.1327130264446621,0.9823889334778655,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4419,nishapur,khorasan_razavi,1540,6107,4567,0.0007311348764864533,0.2521696413951204,1.1344209096459426,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
4252,sowmeeh_sara,gilan,1991,6069,4078,0.0007265854863920559,0.3280606360191135,0.9457784138941416,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
7651,rezvanshahr,gilan,2046,6036,3990,0.0007226347002574476,0.3389662027833002,1.2346108920317178,2025-12-04,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
9077,shemshak,tehran,821,5193,4372,0.0006217100726369989,0.15809743886000385,1.4542508571491,2025-12-11,Destination growth analyst,Review destination content and campaign calendar,"Join conversion, available inventory, margin and campaign cost; run a controlled pilot",Historical forecast; analyst review required,Ranked by forecast search volume; pickup ratio is supporting evidence
