cluster_code,checkin,raw_predicted_demand,calibrated_predicted_demand,calibration_delta
1011,2025-11-22,139,139,0
1011,2025-11-23,181,181,0
1011,2025-11-24,135,135,0
1011,2025-11-25,130,130,0
1011,2025-11-26,149,149,0
1011,2025-11-27,459,459,0
1011,2025-11-28,150,150,0
1011,2025-11-29,90,97,7
1011,2025-11-30,96,104,8
1011,2025-12-01,132,143,11
1011,2025-12-02,90,98,8
1011,2025-12-03,199,216,17
1011,2025-12-04,500,547,47
1011,2025-12-05,132,145,13
1011,2025-12-06,99,107,8
1011,2025-12-07,100,108,8
1011,2025-12-08,124,133,9
1011,2025-12-09,120,128,8
1011,2025-12-10,175,188,13
1011,2025-12-11,580,623,43
1011,2025-12-12,214,229,15
1011,2025-12-13,137,148,11
1011,2025-12-14,108,116,8
1011,2025-12-15,148,160,12
1011,2025-12-16,162,175,13
1011,2025-12-17,233,251,18
1011,2025-12-18,577,622,45
1011,2025-12-19,173,187,14
1011,2025-12-20,145,156,11
1011,2025-12-21,94,102,8
1013,2025-11-22,0,0,0
1013,2025-11-23,0,0,0
1013,2025-11-24,0,0,0
1013,2025-11-25,0,0,0
1013,2025-11-26,0,0,0
1013,2025-11-27,0,0,0
1013,2025-11-28,0,0,0
1013,2025-11-29,0,0,0
1013,2025-11-30,0,0,0
1013,2025-12-01,0,0,0
1013,2025-12-02,0,0,0
1013,2025-12-03,0,0,0
1013,2025-12-04,0,0,0
1013,2025-12-05,0,0,0
1013,2025-12-06,0,0,0
1013,2025-12-07,0,0,0
1013,2025-12-08,0,0,0
1013,2025-12-09,0,0,0
1013,2025-12-10,0,0,0
1013,2025-12-11,0,0,0
1013,2025-12-12,0,0,0
1013,2025-12-13,0,0,0
1013,2025-12-14,0,0,0
1013,2025-12-15,0,0,0
1013,2025-12-16,0,0,0
1013,2025-12-17,0,0,0
1013,2025-12-18,0,0,0
1013,2025-12-19,0,0,0
1013,2025-12-20,0,0,0
1013,2025-12-21,0,0,0
1053,2025-11-22,659,659,0
1053,2025-11-23,560,560,0
1053,2025-11-24,588,588,0
1053,2025-11-25,545,545,0
1053,2025-11-26,757,757,0
1053,2025-11-27,1038,1038,0
1053,2025-11-28,448,448,0
1053,2025-11-29,312,336,24
1053,2025-11-30,305,330,25
1053,2025-12-01,247,268,21
1053,2025-12-02,295,321,26
1053,2025-12-03,572,620,48
1053,2025-12-04,799,873,74
1053,2025-12-05,210,231,21
1053,2025-12-06,258,277,19
1053,2025-12-07,263,281,18
1053,2025-12-08,266,283,17
1053,2025-12-09,280,300,20
