cluster_code,checkin,predicted_demand
1011,2025-11-22,137
1011,2025-11-23,176
1011,2025-11-24,133
1011,2025-11-25,125
1011,2025-11-26,147
1011,2025-11-27,457
1011,2025-11-28,140
1011,2025-11-29,97
1011,2025-11-30,97
1011,2025-12-01,138
1011,2025-12-02,101
1011,2025-12-03,185
1011,2025-12-04,551
1011,2025-12-05,129
1011,2025-12-06,102
1011,2025-12-07,95
1011,2025-12-08,118
1011,2025-12-09,111
1011,2025-12-10,179
1011,2025-12-11,475
1011,2025-12-12,207
1011,2025-12-13,115
1011,2025-12-14,101
1011,2025-12-15,112
1011,2025-12-16,120
1011,2025-12-17,199
1011,2025-12-18,547
1011,2025-12-19,112
1011,2025-12-20,116
1011,2025-12-21,86
1013,2025-11-22,0
1013,2025-11-23,0
1013,2025-11-24,0
1013,2025-11-25,0
1013,2025-11-26,0
1013,2025-11-27,0
1013,2025-11-28,0
1013,2025-11-29,0
1013,2025-11-30,0
1013,2025-12-01,0
1013,2025-12-02,0
1013,2025-12-03,0
1013,2025-12-04,0
1013,2025-12-05,0
1013,2025-12-06,0
1013,2025-12-07,0
1013,2025-12-08,0
1013,2025-12-09,0
1013,2025-12-10,0
1013,2025-12-11,0
1013,2025-12-12,0
1013,2025-12-13,0
1013,2025-12-14,0
1013,2025-12-15,0
1013,2025-12-16,0
1013,2025-12-17,0
1013,2025-12-18,0
1013,2025-12-19,0
1013,2025-12-20,0
1013,2025-12-21,0
1053,2025-11-22,656
1053,2025-11-23,587
1053,2025-11-24,581
1053,2025-11-25,543
1053,2025-11-26,717
1053,2025-11-27,1032
1053,2025-11-28,458
1053,2025-11-29,348
1053,2025-11-30,347
1053,2025-12-01,355
1053,2025-12-02,394
1053,2025-12-03,658
1053,2025-12-04,788
1053,2025-12-05,256
1053,2025-12-06,252
1053,2025-12-07,271
1053,2025-12-08,347
1053,2025-12-09,309
1053,2025-12-10,422
1053,2025-12-11,808
1053,2025-12-12,353
1053,2025-12-13,303
1053,2025-12-14,275
1053,2025-12-15,303
1053,2025-12-16,347
1053,2025-12-17,536
1053,2025-12-18,706
1053,2025-12-19,341
1053,2025-12-20,292
1053,2025-12-21,262
1054,2025-11-22,20
1054,2025-11-23,23
1054,2025-11-24,6
1054,2025-11-25,9
1054,2025-11-26,7
1054,2025-11-27,11
1054,2025-11-28,3
1054,2025-11-29,2
1054,2025-11-30,2
1054,2025-12-01,4
1054,2025-12-02,5
1054,2025-12-03,10
1054,2025-12-04,13
1054,2025-12-05,3
1054,2025-12-06,4
1054,2025-12-07,3
1054,2025-12-08,4
1054,2025-12-09,6
1054,2025-12-10,8
1054,2025-12-11,27
1054,2025-12-12,4
1054,2025-12-13,3
1054,2025-12-14,3
1054,2025-12-15,4
1054,2025-12-16,4
1054,2025-12-17,6
1054,2025-12-18,15
1054,2025-12-19,6
1054,2025-12-20,3
1054,2025-12-21,2
1120,2025-11-22,19
1120,2025-11-23,23
1120,2025-11-24,17
1120,2025-11-25,14
1120,2025-11-26,20
1120,2025-11-27,78
1120,2025-11-28,21
1120,2025-11-29,15
1120,2025-11-30,15
1120,2025-12-01,23
1120,2025-12-02,24
1120,2025-12-03,23
1120,2025-12-04,61
1120,2025-12-05,26
1120,2025-12-06,17
1120,2025-12-07,16
1120,2025-12-08,17
1120,2025-12-09,18
1120,2025-12-10,21
1120,2025-12-11,65
1120,2025-12-12,21
1120,2025-12-13,17
1120,2025-12-14,15
1120,2025-12-15,18
1120,2025-12-16,18
1120,2025-12-17,22
1120,2025-12-18,54
1120,2025-12-19,25
1120,2025-12-20,19
1120,2025-12-21,15
1156,2025-11-22,0
1156,2025-11-23,0
1156,2025-11-24,0
1156,2025-11-25,0
1156,2025-11-26,0
1156,2025-11-27,0
1156,2025-11-28,0
1156,2025-11-29,0
1156,2025-11-30,0
1156,2025-12-01,0
1156,2025-12-02,0
1156,2025-12-03,0
1156,2025-12-04,0
1156,2025-12-05,0
1156,2025-12-06,0
1156,2025-12-07,0
1156,2025-12-08,0
1156,2025-12-09,0
1156,2025-12-10,0
1156,2025-12-11,0
1156,2025-12-12,0
1156,2025-12-13,0
1156,2025-12-14,0
1156,2025-12-15,0
1156,2025-12-16,0
1156,2025-12-17,0
1156,2025-12-18,0
1156,2025-12-19,0
1156,2025-12-20,0
1156,2025-12-21,0
1173,2025-11-22,0
1173,2025-11-23,0
1173,2025-11-24,8
1173,2025-11-25,3
1173,2025-11-26,1
1173,2025-11-27,9
1173,2025-11-28,0
1173,2025-11-29,0
1173,2025-11-30,0
1173,2025-12-01,0
1173,2025-12-02,1
1173,2025-12-03,1
1173,2025-12-04,6
1173,2025-12-05,1
1173,2025-12-06,1
1173,2025-12-07,2
1173,2025-12-08,1
1173,2025-12-09,1
1173,2025-12-10,3
1173,2025-12-11,9
1173,2025-12-12,2
1173,2025-12-13,1
1173,2025-12-14,1
1173,2025-12-15,1
1173,2025-12-16,1
1173,2025-12-17,3
1173,2025-12-18,7
1173,2025-12-19,2
1173,2025-12-20,1
1173,2025-12-21,1
1177,2025-11-22,42
1177,2025-11-23,60
1177,2025-11-24,47
1177,2025-11-25,46
1177,2025-11-26,82
1177,2025-11-27,135
1177,2025-11-28,23
1177,2025-11-29,10
1177,2025-11-30,21
1177,2025-12-01,23
1177,2025-12-02,28
1177,2025-12-03,45
1177,2025-12-04,126
1177,2025-12-05,24
1177,2025-12-06,26
1177,2025-12-07,22
1177,2025-12-08,24
1177,2025-12-09,28
1177,2025-12-10,40
1177,2025-12-11,103
1177,2025-12-12,28
1177,2025-12-13,23
1177,2025-12-14,22
1177,2025-12-15,24
1177,2025-12-16,22
1177,2025-12-17,43
1177,2025-12-18,90
1177,2025-12-19,35
1177,2025-12-20,24
1177,2025-12-21,19
1183,2025-11-22,37141
1183,2025-11-23,37870
1183,2025-11-24,37330
1183,2025-11-25,37074
1183,2025-11-26,41972
1183,2025-11-27,58610
1183,2025-11-28,29860
1183,2025-11-29,30864
1183,2025-11-30,30608
1183,2025-12-01,30866
1183,2025-12-02,31083
1183,2025-12-03,37587
1183,2025-12-04,51602
1183,2025-12-05,34535
1183,2025-12-06,34704
1183,2025-12-07,33336
1183,2025-12-08,35772
1183,2025-12-09,37395
1183,2025-12-10,41505
1183,2025-12-11,52545
1183,2025-12-12,35728
1183,2025-12-13,33800
1183,2025-12-14,32588
1183,2025-12-15,33297
1183,2025-12-16,34965
1183,2025-12-17,39392
1183,2025-12-18,48206
1183,2025-12-19,33392
1183,2025-12-20,31160
1183,2025-12-21,29021
1209,2025-11-22,0
1209,2025-11-23,1
1209,2025-11-24,0
1209,2025-11-25,0
1209,2025-11-26,0
1209,2025-11-27,5
1209,2025-11-28,0
1209,2025-11-29,0
1209,2025-11-30,0
1209,2025-12-01,2
1209,2025-12-02,3
1209,2025-12-03,0
1209,2025-12-04,0
1209,2025-12-05,0
1209,2025-12-06,5
1209,2025-12-07,5
1209,2025-12-08,5
1209,2025-12-09,5
1209,2025-12-10,6
1209,2025-12-11,8
1209,2025-12-12,4
1209,2025-12-13,4
1209,2025-12-14,4
1209,2025-12-15,4
1209,2025-12-16,6
1209,2025-12-17,5
1209,2025-12-18,8
1209,2025-12-19,0
1209,2025-12-20,0
1209,2025-12-21,0
1224,2025-11-22,21
1224,2025-11-23,20
1224,2025-11-24,20
1224,2025-11-25,13
1224,2025-11-26,29
1224,2025-11-27,47
1224,2025-11-28,22
1224,2025-11-29,18
1224,2025-11-30,20
1224,2025-12-01,26
1224,2025-12-02,31
1224,2025-12-03,32
1224,2025-12-04,46
1224,2025-12-05,28
1224,2025-12-06,29
1224,2025-12-07,30
1224,2025-12-08,29
1224,2025-12-09,29
1224,2025-12-10,32
1224,2025-12-11,63
1224,2025-12-12,32
1224,2025-12-13,31
1224,2025-12-14,31
1224,2025-12-15,33
1224,2025-12-16,32
1224,2025-12-17,35
1224,2025-12-18,53
1224,2025-12-19,32
1224,2025-12-20,31
1224,2025-12-21,28
1239,2025-11-22,6
1239,2025-11-23,7
1239,2025-11-24,10
1239,2025-11-25,11
1239,2025-11-26,14
1239,2025-11-27,17
1239,2025-11-28,9
1239,2025-11-29,10
1239,2025-11-30,10
1239,2025-12-01,11
1239,2025-12-02,9
1239,2025-12-03,10
1239,2025-12-04,17
1239,2025-12-05,7
1239,2025-12-06,9
1239,2025-12-07,9
1239,2025-12-08,9
1239,2025-12-09,10
1239,2025-12-10,12
1239,2025-12-11,22
1239,2025-12-12,9
1239,2025-12-13,10
1239,2025-12-14,10
1239,2025-12-15,9
1239,2025-12-16,10
1239,2025-12-17,10
1239,2025-12-18,16
1239,2025-12-19,9
1239,2025-12-20,9
1239,2025-12-21,8
1265,2025-11-22,43
1265,2025-11-23,43
1265,2025-11-24,41
1265,2025-11-25,50
1265,2025-11-26,48
1265,2025-11-27,57
1265,2025-11-28,23
1265,2025-11-29,29
1265,2025-11-30,42
1265,2025-12-01,47
1265,2025-12-02,52
1265,2025-12-03,55
1265,2025-12-04,77
1265,2025-12-05,49
1265,2025-12-06,48
1265,2025-12-07,42
1265,2025-12-08,48
1265,2025-12-09,55
1265,2025-12-10,58
1265,2025-12-11,79
1265,2025-12-12,52
1265,2025-12-13,51
1265,2025-12-14,49
1265,2025-12-15,46
1265,2025-12-16,48
1265,2025-12-17,49
1265,2025-12-18,57
1265,2025-12-19,48
