cluster_code,checkin,predicted_demand
1011,2025-11-22,139
1011,2025-11-23,181
1011,2025-11-24,135
1011,2025-11-25,130
1011,2025-11-26,149
1011,2025-11-27,459
1011,2025-11-28,150
1011,2025-11-29,97
1011,2025-11-30,104
1011,2025-12-01,143
1011,2025-12-02,98
1011,2025-12-03,216
1011,2025-12-04,547
1011,2025-12-05,145
1011,2025-12-06,107
1011,2025-12-07,108
1011,2025-12-08,133
1011,2025-12-09,128
1011,2025-12-10,188
1011,2025-12-11,623
1011,2025-12-12,229
1011,2025-12-13,148
1011,2025-12-14,116
1011,2025-12-15,160
1011,2025-12-16,175
1011,2025-12-17,251
1011,2025-12-18,622
1011,2025-12-19,187
1011,2025-12-20,156
1011,2025-12-21,102
1013,2025-11-22,0
1013,2025-11-23,0
1013,2025-11-24,0
1013,2025-11-25,0
1013,2025-11-26,0
1013,2025-11-27,0
1013,2025-11-28,0
1013,2025-11-29,0
1013,2025-11-30,0
1013,2025-12-01,0
1013,2025-12-02,0
1013,2025-12-03,0
1013,2025-12-04,0
1013,2025-12-05,0
1013,2025-12-06,0
1013,2025-12-07,0
1013,2025-12-08,0
1013,2025-12-09,0
1013,2025-12-10,0
1013,2025-12-11,0
1013,2025-12-12,0
1013,2025-12-13,0
1013,2025-12-14,0
1013,2025-12-15,0
1013,2025-12-16,0
1013,2025-12-17,0
1013,2025-12-18,0
1013,2025-12-19,0
1013,2025-12-20,0
1013,2025-12-21,0
1053,2025-11-22,659
1053,2025-11-23,560
1053,2025-11-24,588
1053,2025-11-25,545
1053,2025-11-26,757
1053,2025-11-27,1038
1053,2025-11-28,448
1053,2025-11-29,336
1053,2025-11-30,330
1053,2025-12-01,268
1053,2025-12-02,321
1053,2025-12-03,620
1053,2025-12-04,873
1053,2025-12-05,231
1053,2025-12-06,277
1053,2025-12-07,281
1053,2025-12-08,283
1053,2025-12-09,300
1053,2025-12-10,433
1053,2025-12-11,925
1053,2025-12-12,345
1053,2025-12-13,281
1053,2025-12-14,256
1053,2025-12-15,282
1053,2025-12-16,303
1053,2025-12-17,462
1053,2025-12-18,615
1053,2025-12-19,326
1053,2025-12-20,324
1053,2025-12-21,243
1054,2025-11-22,20
1054,2025-11-23,24
1054,2025-11-24,6
1054,2025-11-25,8
1054,2025-11-26,7
1054,2025-11-27,8
1054,2025-11-28,3
1054,2025-11-29,3
1054,2025-11-30,3
1054,2025-12-01,4
1054,2025-12-02,4
1054,2025-12-03,11
1054,2025-12-04,12
1054,2025-12-05,4
1054,2025-12-06,5
1054,2025-12-07,4
1054,2025-12-08,4
1054,2025-12-09,6
1054,2025-12-10,8
1054,2025-12-11,19
1054,2025-12-12,5
1054,2025-12-13,4
1054,2025-12-14,4
1054,2025-12-15,5
1054,2025-12-16,6
1054,2025-12-17,7
1054,2025-12-18,13
1054,2025-12-19,7
1054,2025-12-20,4
1054,2025-12-21,3
1120,2025-11-22,19
1120,2025-11-23,22
1120,2025-11-24,15
1120,2025-11-25,13
1120,2025-11-26,19
1120,2025-11-27,77
1120,2025-11-28,19
1120,2025-11-29,10
1120,2025-11-30,15
1120,2025-12-01,16
1120,2025-12-02,20
1120,2025-12-03,15
1120,2025-12-04,68
1120,2025-12-05,25
1120,2025-12-06,16
1120,2025-12-07,15
1120,2025-12-08,16
1120,2025-12-09,18
1120,2025-12-10,20
1120,2025-12-11,63
1120,2025-12-12,23
1120,2025-12-13,17
1120,2025-12-14,15
1120,2025-12-15,20
1120,2025-12-16,22
1120,2025-12-17,22
1120,2025-12-18,53
1120,2025-12-19,27
1120,2025-12-20,18
1120,2025-12-21,14
1156,2025-11-22,0
1156,2025-11-23,0
1156,2025-11-24,0
1156,2025-11-25,0
1156,2025-11-26,0
1156,2025-11-27,0
1156,2025-11-28,0
1156,2025-11-29,0
1156,2025-11-30,0
1156,2025-12-01,0
1156,2025-12-02,0
1156,2025-12-03,0
1156,2025-12-04,0
1156,2025-12-05,0
1156,2025-12-06,0
1156,2025-12-07,0
1156,2025-12-08,0
1156,2025-12-09,0
1156,2025-12-10,0
1156,2025-12-11,0
1156,2025-12-12,0
1156,2025-12-13,0
1156,2025-12-14,0
1156,2025-12-15,0
1156,2025-12-16,0
1156,2025-12-17,0
1156,2025-12-18,0
1156,2025-12-19,0
1156,2025-12-20,0
1156,2025-12-21,0
1173,2025-11-22,0
1173,2025-11-23,0
1173,2025-11-24,8
1173,2025-11-25,3
1173,2025-11-26,1
1173,2025-11-27,7
1173,2025-11-28,0
1173,2025-11-29,0
1173,2025-11-30,1
1173,2025-12-01,1
1173,2025-12-02,1
1173,2025-12-03,2
1173,2025-12-04,7
1173,2025-12-05,1
1173,2025-12-06,1
1173,2025-12-07,1
1173,2025-12-08,1
1173,2025-12-09,1
1173,2025-12-10,2
1173,2025-12-11,10
1173,2025-12-12,1
1173,2025-12-13,1
1173,2025-12-14,1
1173,2025-12-15,2
1173,2025-12-16,2
1173,2025-12-17,3
1173,2025-12-18,7
1173,2025-12-19,2
1173,2025-12-20,2
1173,2025-12-21,1
1177,2025-11-22,42
1177,2025-11-23,59
1177,2025-11-24,45
1177,2025-11-25,43
1177,2025-11-26,82
1177,2025-11-27,130
1177,2025-11-28,20
1177,2025-11-29,11
1177,2025-11-30,18
1177,2025-12-01,20
1177,2025-12-02,27
1177,2025-12-03,45
1177,2025-12-04,128
1177,2025-12-05,25
1177,2025-12-06,27
1177,2025-12-07,25
1177,2025-12-08,23
1177,2025-12-09,24
1177,2025-12-10,33
1177,2025-12-11,113
1177,2025-12-12,27
1177,2025-12-13,20
1177,2025-12-14,19
1177,2025-12-15,23
1177,2025-12-16,25
1177,2025-12-17,51
1177,2025-12-18,93
1177,2025-12-19,36
1177,2025-12-20,23
1177,2025-12-21,17
1183,2025-11-22,37183
1183,2025-11-23,37760
1183,2025-11-24,37313
1183,2025-11-25,35821
1183,2025-11-26,42184
1183,2025-11-27,49881
1183,2025-11-28,29268
1183,2025-11-29,32850
1183,2025-11-30,32612
1183,2025-12-01,34133
1183,2025-12-02,34247
1183,2025-12-03,41237
1183,2025-12-04,56268
1183,2025-12-05,40250
1183,2025-12-06,37015
1183,2025-12-07,35567
1183,2025-12-08,38490
1183,2025-12-09,38943
1183,2025-12-10,46162
1183,2025-12-11,53375
1183,2025-12-12,37678
1183,2025-12-13,37876
1183,2025-12-14,36707
1183,2025-12-15,37954
1183,2025-12-16,37895
1183,2025-12-17,42900
1183,2025-12-18,53407
1183,2025-12-19,35675
1183,2025-12-20,35239
1183,2025-12-21,29254
1209,2025-11-22,0
1209,2025-11-23,1
1209,2025-11-24,0
1209,2025-11-25,0
1209,2025-11-26,0
1209,2025-11-27,6
1209,2025-11-28,0
1209,2025-11-29,0
1209,2025-11-30,0
1209,2025-12-01,3
1209,2025-12-02,3
1209,2025-12-03,0
1209,2025-12-04,0
1209,2025-12-05,0
1209,2025-12-06,5
1209,2025-12-07,5
1209,2025-12-08,5
1209,2025-12-09,5
1209,2025-12-10,5
1209,2025-12-11,6
1209,2025-12-12,4
1209,2025-12-13,4
1209,2025-12-14,4
1209,2025-12-15,5
1209,2025-12-16,5
1209,2025-12-17,5
1209,2025-12-18,6
1209,2025-12-19,0
1209,2025-12-20,0
1209,2025-12-21,0
1224,2025-11-22,22
1224,2025-11-23,20
1224,2025-11-24,19
1224,2025-11-25,12
1224,2025-11-26,27
1224,2025-11-27,42
1224,2025-11-28,21
1224,2025-11-29,20
1224,2025-11-30,23
1224,2025-12-01,25
1224,2025-12-02,28
1224,2025-12-03,31
1224,2025-12-04,49
1224,2025-12-05,30
1224,2025-12-06,25
1224,2025-12-07,28
1224,2025-12-08,27
1224,2025-12-09,27
1224,2025-12-10,29
1224,2025-12-11,61
1224,2025-12-12,27
1224,2025-12-13,28
1224,2025-12-14,27
1224,2025-12-15,32
1224,2025-12-16,31
1224,2025-12-17,33
1224,2025-12-18,53
1224,2025-12-19,32
1224,2025-12-20,30
1224,2025-12-21,23
1239,2025-11-22,5
1239,2025-11-23,7
1239,2025-11-24,10
1239,2025-11-25,10
1239,2025-11-26,12
1239,2025-11-27,16
1239,2025-11-28,8
1239,2025-11-29,9
1239,2025-11-30,9
1239,2025-12-01,10
1239,2025-12-02,8
1239,2025-12-03,8
1239,2025-12-04,19
1239,2025-12-05,9
1239,2025-12-06,8
1239,2025-12-07,8
1239,2025-12-08,8
1239,2025-12-09,9
1239,2025-12-10,12
1239,2025-12-11,20
1239,2025-12-12,9
1239,2025-12-13,9
1239,2025-12-14,8
1239,2025-12-15,10
1239,2025-12-16,10
1239,2025-12-17,10
1239,2025-12-18,17
1239,2025-12-19,9
1239,2025-12-20,9
1239,2025-12-21,8
1265,2025-11-22,43
1265,2025-11-23,43
1265,2025-11-24,44
1265,2025-11-25,48
1265,2025-11-26,48
1265,2025-11-27,58
1265,2025-11-28,19
