city_code,city,province,checkin,observed_so_far,predicted_demand,predicted_remaining
6261,abali,tehran,2025-11-22,8,10,2
6261,abali,tehran,2025-11-23,13,20,7
6261,abali,tehran,2025-11-24,5,12,7
6261,abali,tehran,2025-11-25,7,17,10
6261,abali,tehran,2025-11-26,4,18,14
6261,abali,tehran,2025-11-27,9,51,42
6261,abali,tehran,2025-11-28,2,16,14
6261,abali,tehran,2025-11-29,0,9,9
6261,abali,tehran,2025-11-30,0,11,11
6261,abali,tehran,2025-12-01,0,12,12
6261,abali,tehran,2025-12-02,0,13,13
6261,abali,tehran,2025-12-03,0,16,16
6261,abali,tehran,2025-12-04,2,73,71
6261,abali,tehran,2025-12-05,4,35,31
6261,abali,tehran,2025-12-06,1,19,18
6261,abali,tehran,2025-12-07,1,20,19
6261,abali,tehran,2025-12-08,1,21,20
6261,abali,tehran,2025-12-09,1,21,20
6261,abali,tehran,2025-12-10,1,30,29
6261,abali,tehran,2025-12-11,1,135,134
6261,abali,tehran,2025-12-12,1,31,30
6261,abali,tehran,2025-12-13,1,20,19
6261,abali,tehran,2025-12-14,1,19,18
6261,abali,tehran,2025-12-15,1,27,26
6261,abali,tehran,2025-12-16,2,32,30
6261,abali,tehran,2025-12-17,2,36,34
6261,abali,tehran,2025-12-18,1,103,102
6261,abali,tehran,2025-12-19,0,35,35
6261,abali,tehran,2025-12-20,0,22,22
6261,abali,tehran,2025-12-21,0,15,15
1053,abbasabad,mazandaran,2025-11-22,539,659,120
1053,abbasabad,mazandaran,2025-11-23,379,560,181
1053,abbasabad,mazandaran,2025-11-24,332,588,256
1053,abbasabad,mazandaran,2025-11-25,260,545,285
1053,abbasabad,mazandaran,2025-11-26,250,757,507
1053,abbasabad,mazandaran,2025-11-27,286,1038,752
1053,abbasabad,mazandaran,2025-11-28,134,448,314
1053,abbasabad,mazandaran,2025-11-29,80,336,256
1053,abbasabad,mazandaran,2025-11-30,55,330,275
1053,abbasabad,mazandaran,2025-12-01,37,268,231
1053,abbasabad,mazandaran,2025-12-02,43,321,278
1053,abbasabad,mazandaran,2025-12-03,102,620,518
1053,abbasabad,mazandaran,2025-12-04,80,873,793
1053,abbasabad,mazandaran,2025-12-05,8,231,223
1053,abbasabad,mazandaran,2025-12-06,14,277,263
1053,abbasabad,mazandaran,2025-12-07,15,281,266
1053,abbasabad,mazandaran,2025-12-08,39,283,244
1053,abbasabad,mazandaran,2025-12-09,19,300,281
1053,abbasabad,mazandaran,2025-12-10,19,433,414
1053,abbasabad,mazandaran,2025-12-11,19,925,906
1053,abbasabad,mazandaran,2025-12-12,13,345,332
1053,abbasabad,mazandaran,2025-12-13,16,281,265
1053,abbasabad,mazandaran,2025-12-14,9,256,247
1053,abbasabad,mazandaran,2025-12-15,11,282,271
1053,abbasabad,mazandaran,2025-12-16,19,303,284
1053,abbasabad,mazandaran,2025-12-17,20,462,442
1053,abbasabad,mazandaran,2025-12-18,12,615,603
1053,abbasabad,mazandaran,2025-12-19,4,326,322
1053,abbasabad,mazandaran,2025-12-20,4,324,320
1053,abbasabad,mazandaran,2025-12-21,0,243,243
6986,aboozeidabad,isfahan,2025-11-22,8,8,0
6986,aboozeidabad,isfahan,2025-11-23,38,42,4
6986,aboozeidabad,isfahan,2025-11-24,14,17,3
6986,aboozeidabad,isfahan,2025-11-25,6,9,3
6986,aboozeidabad,isfahan,2025-11-26,22,37,15
6986,aboozeidabad,isfahan,2025-11-27,36,97,61
6986,aboozeidabad,isfahan,2025-11-28,2,6,4
6986,aboozeidabad,isfahan,2025-11-29,1,4,3
6986,aboozeidabad,isfahan,2025-11-30,0,3,3
6986,aboozeidabad,isfahan,2025-12-01,0,3,3
6986,aboozeidabad,isfahan,2025-12-02,0,4,4
6986,aboozeidabad,isfahan,2025-12-03,2,11,9
6986,aboozeidabad,isfahan,2025-12-04,8,68,60
6986,aboozeidabad,isfahan,2025-12-05,0,5,5
6986,aboozeidabad,isfahan,2025-12-06,0,9,9
6986,aboozeidabad,isfahan,2025-12-07,0,8,8
6986,aboozeidabad,isfahan,2025-12-08,8,19,11
6986,aboozeidabad,isfahan,2025-12-09,0,9,9
6986,aboozeidabad,isfahan,2025-12-10,5,42,37
6986,aboozeidabad,isfahan,2025-12-11,17,205,188
6986,aboozeidabad,isfahan,2025-12-12,4,26,22
6986,aboozeidabad,isfahan,2025-12-13,0,10,10
6986,aboozeidabad,isfahan,2025-12-14,0,9,9
6986,aboozeidabad,isfahan,2025-12-15,0,11,11
6986,aboozeidabad,isfahan,2025-12-16,0,13,13
6986,aboozeidabad,isfahan,2025-12-17,0,31,31
6986,aboozeidabad,isfahan,2025-12-18,6,139,133
6986,aboozeidabad,isfahan,2025-12-19,0,17,17
6986,aboozeidabad,isfahan,2025-12-20,0,11,11
6986,aboozeidabad,isfahan,2025-12-21,0,7,7
2168,abrisham,isfahan,2025-11-22,3,3,0
2168,abrisham,isfahan,2025-11-23,6,6,0
2168,abrisham,isfahan,2025-11-24,3,3,0
2168,abrisham,isfahan,2025-11-25,3,3,0
2168,abrisham,isfahan,2025-11-26,3,4,1
2168,abrisham,isfahan,2025-11-27,1,2,1
2168,abrisham,isfahan,2025-11-28,0,0,0
2168,abrisham,isfahan,2025-11-29,1,1,0
2168,abrisham,isfahan,2025-11-30,1,1,0
