cluster_code,checkin,predicted_demand
1011,2025-11-22,139
1011,2025-11-23,181
1011,2025-11-24,135
1011,2025-11-25,130
1011,2025-11-26,149
1011,2025-11-27,459
1011,2025-11-28,150
1011,2025-11-29,90
1011,2025-11-30,96
1011,2025-12-01,132
1011,2025-12-02,90
1011,2025-12-03,199
1011,2025-12-04,500
1011,2025-12-05,132
1011,2025-12-06,99
1011,2025-12-07,100
1011,2025-12-08,124
1011,2025-12-09,120
1011,2025-12-10,175
1011,2025-12-11,580
1011,2025-12-12,214
1011,2025-12-13,137
1011,2025-12-14,108
1011,2025-12-15,148
1011,2025-12-16,162
1011,2025-12-17,233
1011,2025-12-18,577
1011,2025-12-19,173
1011,2025-12-20,145
1011,2025-12-21,94
1013,2025-11-22,0
1013,2025-11-23,0
1013,2025-11-24,0
1013,2025-11-25,0
1013,2025-11-26,0
1013,2025-11-27,0
1013,2025-11-28,0
1013,2025-11-29,0
1013,2025-11-30,0
1013,2025-12-01,0
1013,2025-12-02,0
1013,2025-12-03,0
1013,2025-12-04,0
1013,2025-12-05,0
1013,2025-12-06,0
1013,2025-12-07,0
1013,2025-12-08,0
1013,2025-12-09,0
1013,2025-12-10,0
1013,2025-12-11,0
1013,2025-12-12,0
1013,2025-12-13,0
1013,2025-12-14,0
1013,2025-12-15,0
1013,2025-12-16,0
1013,2025-12-17,0
1013,2025-12-18,0
1013,2025-12-19,0
1013,2025-12-20,0
1013,2025-12-21,0
1053,2025-11-22,659
1053,2025-11-23,560
1053,2025-11-24,588
1053,2025-11-25,545
1053,2025-11-26,757
1053,2025-11-27,1038
1053,2025-11-28,448
1053,2025-11-29,312
1053,2025-11-30,305
1053,2025-12-01,247
1053,2025-12-02,295
1053,2025-12-03,572
1053,2025-12-04,799
1053,2025-12-05,210
1053,2025-12-06,258
1053,2025-12-07,263
1053,2025-12-08,266
1053,2025-12-09,280
1053,2025-12-10,405
1053,2025-12-11,862
1053,2025-12-12,322
1053,2025-12-13,261
1053,2025-12-14,238
1053,2025-12-15,262
1053,2025-12-16,282
1053,2025-12-17,429
1053,2025-12-18,570
1053,2025-12-19,302
1053,2025-12-20,300
1053,2025-12-21,225
1054,2025-11-22,20
1054,2025-11-23,24
1054,2025-11-24,6
1054,2025-11-25,8
1054,2025-11-26,7
1054,2025-11-27,8
1054,2025-11-28,3
1054,2025-11-29,2
1054,2025-11-30,3
1054,2025-12-01,3
1054,2025-12-02,4
1054,2025-12-03,10
1054,2025-12-04,10
1054,2025-12-05,4
1054,2025-12-06,4
1054,2025-12-07,4
1054,2025-12-08,3
1054,2025-12-09,6
1054,2025-12-10,7
1054,2025-12-11,18
1054,2025-12-12,5
1054,2025-12-13,4
1054,2025-12-14,3
1054,2025-12-15,5
1054,2025-12-16,6
1054,2025-12-17,7
1054,2025-12-18,12
1054,2025-12-19,6
1054,2025-12-20,4
1054,2025-12-21,3
1120,2025-11-22,19
1120,2025-11-23,22
1120,2025-11-24,15
1120,2025-11-25,13
1120,2025-11-26,19
1120,2025-11-27,77
1120,2025-11-28,19
1120,2025-11-29,9
1120,2025-11-30,14
1120,2025-12-01,14
1120,2025-12-02,19
1120,2025-12-03,13
1120,2025-12-04,62
1120,2025-12-05,23
1120,2025-12-06,15
1120,2025-12-07,14
1120,2025-12-08,15
1120,2025-12-09,17
1120,2025-12-10,18
1120,2025-12-11,59
1120,2025-12-12,21
1120,2025-12-13,16
1120,2025-12-14,14
1120,2025-12-15,18
1120,2025-12-16,21
1120,2025-12-17,21
1120,2025-12-18,49
1120,2025-12-19,25
1120,2025-12-20,17
1120,2025-12-21,13
1156,2025-11-22,0
1156,2025-11-23,0
1156,2025-11-24,0
1156,2025-11-25,0
1156,2025-11-26,0
1156,2025-11-27,0
1156,2025-11-28,0
1156,2025-11-29,0
1156,2025-11-30,0
1156,2025-12-01,0
1156,2025-12-02,0
1156,2025-12-03,0
1156,2025-12-04,0
1156,2025-12-05,0
1156,2025-12-06,0
1156,2025-12-07,0
1156,2025-12-08,0
1156,2025-12-09,0
1156,2025-12-10,0
1156,2025-12-11,0
1156,2025-12-12,0
1156,2025-12-13,0
1156,2025-12-14,0
1156,2025-12-15,0
1156,2025-12-16,0
1156,2025-12-17,0
1156,2025-12-18,0
1156,2025-12-19,0
1156,2025-12-20,0
1156,2025-12-21,0
1173,2025-11-22,0
1173,2025-11-23,0
1173,2025-11-24,8
1173,2025-11-25,3
1173,2025-11-26,1
1173,2025-11-27,7
1173,2025-11-28,0
1173,2025-11-29,0
1173,2025-11-30,1
1173,2025-12-01,1
1173,2025-12-02,1
1173,2025-12-03,2
1173,2025-12-04,6
1173,2025-12-05,1
1173,2025-12-06,1
1173,2025-12-07,1
1173,2025-12-08,1
1173,2025-12-09,1
1173,2025-12-10,2
1173,2025-12-11,9
1173,2025-12-12,1
1173,2025-12-13,1
1173,2025-12-14,1
1173,2025-12-15,1
1173,2025-12-16,2
1173,2025-12-17,3
1173,2025-12-18,7
1173,2025-12-19,2
1173,2025-12-20,1
1173,2025-12-21,1
1177,2025-11-22,42
1177,2025-11-23,59
1177,2025-11-24,45
1177,2025-11-25,43
1177,2025-11-26,82
1177,2025-11-27,130
1177,2025-11-28,20
1177,2025-11-29,10
1177,2025-11-30,16
1177,2025-12-01,19
1177,2025-12-02,25
1177,2025-12-03,41
1177,2025-12-04,117
1177,2025-12-05,23
1177,2025-12-06,25
1177,2025-12-07,24
1177,2025-12-08,21
1177,2025-12-09,22
1177,2025-12-10,31
1177,2025-12-11,105
1177,2025-12-12,25
1177,2025-12-13,19
1177,2025-12-14,17
1177,2025-12-15,21
1177,2025-12-16,23
1177,2025-12-17,47
1177,2025-12-18,87
1177,2025-12-19,34
1177,2025-12-20,21
1177,2025-12-21,16
1183,2025-11-22,37183
1183,2025-11-23,37760
1183,2025-11-24,37313
1183,2025-11-25,35821
1183,2025-11-26,42184
1183,2025-11-27,49881
1183,2025-11-28,29268
1183,2025-11-29,30893
1183,2025-11-30,30649
1183,2025-12-01,31982
1183,2025-12-02,32068
1183,2025-12-03,38432
1183,2025-12-04,52155
1183,2025-12-05,37345
1183,2025-12-06,35033
1183,2025-12-07,33673
1183,2025-12-08,36372
1183,2025-12-09,36788
1183,2025-12-10,43523
1183,2025-12-11,50277
1183,2025-12-12,35525
1183,2025-12-13,35572
1183,2025-12-14,34471
1183,2025-12-15,35612
1183,2025-12-16,35550
1183,2025-12-17,40190
1183,2025-12-18,49932
1183,2025-12-19,33405
1183,2025-12-20,33001
1183,2025-12-21,27286
1209,2025-11-22,0
1209,2025-11-23,1
1209,2025-11-24,0
1209,2025-11-25,0
1209,2025-11-26,0
1209,2025-11-27,6
1209,2025-11-28,0
1209,2025-11-29,0
1209,2025-11-30,0
1209,2025-12-01,3
1209,2025-12-02,3
1209,2025-12-03,0
1209,2025-12-04,0
1209,2025-12-05,0
1209,2025-12-06,4
1209,2025-12-07,5
1209,2025-12-08,5
1209,2025-12-09,4
1209,2025-12-10,5
1209,2025-12-11,6
1209,2025-12-12,4
1209,2025-12-13,4
1209,2025-12-14,4
1209,2025-12-15,5
1209,2025-12-16,5
1209,2025-12-17,5
1209,2025-12-18,6
1209,2025-12-19,0
1209,2025-12-20,0
1209,2025-12-21,0
1224,2025-11-22,22
1224,2025-11-23,20
1224,2025-11-24,19
1224,2025-11-25,12
1224,2025-11-26,27
1224,2025-11-27,42
1224,2025-11-28,21
1224,2025-11-29,18
1224,2025-11-30,21
1224,2025-12-01,23
1224,2025-12-02,26
1224,2025-12-03,30
1224,2025-12-04,46
1224,2025-12-05,28
1224,2025-12-06,23
1224,2025-12-07,26
1224,2025-12-08,25
1224,2025-12-09,25
1224,2025-12-10,27
1224,2025-12-11,57
1224,2025-12-12,25
1224,2025-12-13,26
1224,2025-12-14,25
1224,2025-12-15,30
1224,2025-12-16,29
1224,2025-12-17,31
1224,2025-12-18,49
1224,2025-12-19,30
1224,2025-12-20,28
1224,2025-12-21,22
1239,2025-11-22,5
1239,2025-11-23,7
1239,2025-11-24,10
1239,2025-11-25,10
1239,2025-11-26,12
1239,2025-11-27,16
1239,2025-11-28,8
1239,2025-11-29,8
1239,2025-11-30,8
1239,2025-12-01,9
1239,2025-12-02,7
1239,2025-12-03,8
1239,2025-12-04,17
1239,2025-12-05,8
1239,2025-12-06,8
1239,2025-12-07,8
1239,2025-12-08,8
1239,2025-12-09,8
1239,2025-12-10,11
1239,2025-12-11,19
1239,2025-12-12,8
1239,2025-12-13,8
1239,2025-12-14,8
1239,2025-12-15,9
1239,2025-12-16,10
1239,2025-12-17,10
1239,2025-12-18,16
1239,2025-12-19,9
1239,2025-12-20,8
1239,2025-12-21,7
1265,2025-11-22,43
1265,2025-11-23,43
1265,2025-11-24,44
1265,2025-11-25,48
1265,2025-11-26,48
1265,2025-11-27,58
1265,2025-11-28,19
