city_code,city,province,checkin,observed_so_far,predicted_demand,predicted_remaining
6261,abali,tehran,2025-11-22,8,10,2
6261,abali,tehran,2025-11-23,13,20,7
6261,abali,tehran,2025-11-24,5,12,7
6261,abali,tehran,2025-11-25,7,17,10
6261,abali,tehran,2025-11-26,4,18,14
6261,abali,tehran,2025-11-27,9,51,42
6261,abali,tehran,2025-11-28,2,16,14
6261,abali,tehran,2025-11-29,0,8,8
6261,abali,tehran,2025-11-30,0,10,10
6261,abali,tehran,2025-12-01,0,11,11
6261,abali,tehran,2025-12-02,0,12,12
6261,abali,tehran,2025-12-03,0,14,14
6261,abali,tehran,2025-12-04,2,66,64
6261,abali,tehran,2025-12-05,4,32,28
6261,abali,tehran,2025-12-06,1,18,17
6261,abali,tehran,2025-12-07,1,18,17
6261,abali,tehran,2025-12-08,1,19,18
6261,abali,tehran,2025-12-09,1,20,19
6261,abali,tehran,2025-12-10,1,28,27
6261,abali,tehran,2025-12-11,1,126,125
6261,abali,tehran,2025-12-12,1,29,28
6261,abali,tehran,2025-12-13,1,18,17
6261,abali,tehran,2025-12-14,1,17,16
6261,abali,tehran,2025-12-15,1,25,24
6261,abali,tehran,2025-12-16,2,30,28
6261,abali,tehran,2025-12-17,2,33,31
6261,abali,tehran,2025-12-18,1,96,95
6261,abali,tehran,2025-12-19,0,33,33
6261,abali,tehran,2025-12-20,0,20,20
6261,abali,tehran,2025-12-21,0,14,14
1053,abbasabad,mazandaran,2025-11-22,539,659,120
1053,abbasabad,mazandaran,2025-11-23,379,560,181
1053,abbasabad,mazandaran,2025-11-24,332,588,256
1053,abbasabad,mazandaran,2025-11-25,260,545,285
1053,abbasabad,mazandaran,2025-11-26,250,757,507
1053,abbasabad,mazandaran,2025-11-27,286,1038,752
1053,abbasabad,mazandaran,2025-11-28,134,448,314
1053,abbasabad,mazandaran,2025-11-29,80,312,232
1053,abbasabad,mazandaran,2025-11-30,55,305,250
1053,abbasabad,mazandaran,2025-12-01,37,247,210
1053,abbasabad,mazandaran,2025-12-02,43,295,252
1053,abbasabad,mazandaran,2025-12-03,102,572,470
1053,abbasabad,mazandaran,2025-12-04,80,799,719
1053,abbasabad,mazandaran,2025-12-05,8,210,202
1053,abbasabad,mazandaran,2025-12-06,14,258,244
1053,abbasabad,mazandaran,2025-12-07,15,263,248
1053,abbasabad,mazandaran,2025-12-08,39,266,227
1053,abbasabad,mazandaran,2025-12-09,19,280,261
1053,abbasabad,mazandaran,2025-12-10,19,405,386
1053,abbasabad,mazandaran,2025-12-11,19,862,843
1053,abbasabad,mazandaran,2025-12-12,13,322,309
1053,abbasabad,mazandaran,2025-12-13,16,261,245
1053,abbasabad,mazandaran,2025-12-14,9,238,229
1053,abbasabad,mazandaran,2025-12-15,11,262,251
1053,abbasabad,mazandaran,2025-12-16,19,282,263
1053,abbasabad,mazandaran,2025-12-17,20,429,409
1053,abbasabad,mazandaran,2025-12-18,12,570,558
1053,abbasabad,mazandaran,2025-12-19,4,302,298
1053,abbasabad,mazandaran,2025-12-20,4,300,296
1053,abbasabad,mazandaran,2025-12-21,0,225,225
6986,aboozeidabad,isfahan,2025-11-22,8,8,0
6986,aboozeidabad,isfahan,2025-11-23,38,42,4
6986,aboozeidabad,isfahan,2025-11-24,14,17,3
6986,aboozeidabad,isfahan,2025-11-25,6,9,3
6986,aboozeidabad,isfahan,2025-11-26,22,37,15
6986,aboozeidabad,isfahan,2025-11-27,36,97,61
6986,aboozeidabad,isfahan,2025-11-28,2,6,4
6986,aboozeidabad,isfahan,2025-11-29,1,4,3
6986,aboozeidabad,isfahan,2025-11-30,0,2,2
6986,aboozeidabad,isfahan,2025-12-01,0,3,3
6986,aboozeidabad,isfahan,2025-12-02,0,4,4
6986,aboozeidabad,isfahan,2025-12-03,2,10,8
6986,aboozeidabad,isfahan,2025-12-04,8,62,54
6986,aboozeidabad,isfahan,2025-12-05,0,4,4
6986,aboozeidabad,isfahan,2025-12-06,0,9,9
6986,aboozeidabad,isfahan,2025-12-07,0,7,7
6986,aboozeidabad,isfahan,2025-12-08,8,18,10
6986,aboozeidabad,isfahan,2025-12-09,0,8,8
6986,aboozeidabad,isfahan,2025-12-10,5,39,34
6986,aboozeidabad,isfahan,2025-12-11,17,192,175
6986,aboozeidabad,isfahan,2025-12-12,4,24,20
6986,aboozeidabad,isfahan,2025-12-13,0,9,9
6986,aboozeidabad,isfahan,2025-12-14,0,8,8
6986,aboozeidabad,isfahan,2025-12-15,0,10,10
6986,aboozeidabad,isfahan,2025-12-16,0,12,12
6986,aboozeidabad,isfahan,2025-12-17,0,28,28
6986,aboozeidabad,isfahan,2025-12-18,6,130,124
6986,aboozeidabad,isfahan,2025-12-19,0,16,16
6986,aboozeidabad,isfahan,2025-12-20,0,10,10
6986,aboozeidabad,isfahan,2025-12-21,0,7,7
2168,abrisham,isfahan,2025-11-22,3,3,0
2168,abrisham,isfahan,2025-11-23,6,6,0
2168,abrisham,isfahan,2025-11-24,3,3,0
2168,abrisham,isfahan,2025-11-25,3,3,0
2168,abrisham,isfahan,2025-11-26,3,4,1
2168,abrisham,isfahan,2025-11-27,1,2,1
2168,abrisham,isfahan,2025-11-28,0,0,0
2168,abrisham,isfahan,2025-11-29,1,1,0
2168,abrisham,isfahan,2025-11-30,1,1,0
