city_code,checkin,horizon,observed,final,remaining_demand,observed_total,days_to_checkin,pickup_1d,pickup_3d,pickup_7d,pickup_14d,pickup_velocity_3d,pickup_velocity_7d,pickup_velocity_14d,pickup_acceleration_3d,pickup_acceleration_7d,pickup_1d_share,pickup_3d_share,pickup_7d_share,pickup_3d_over_7d,active_search_days,days_since_first_search,days_since_last_search,max_daily_search,mean_daily_search,std_daily_search,search_span,expected_completion_fraction,expected_remaining_fraction,pickup_baseline_prediction,pickup_baseline_remaining,pickup_surprise,checkin_weekday,is_weekend,checkin_day_of_month,jalali_month,jalali_day,province_code,lat,long,city_hist_mean,city_hist_median,city_hist_p75,city_hist_p90,city_hist_std,city_volatility,city_weekend_ratio,city_weekday_mean,market_observed_total,market_pickup_1d,market_pickup_3d,market_pickup_7d,market_pickup_14d,market_pickup_velocity_3d,market_pickup_velocity_7d,market_pickup_velocity_14d,market_pickup_acceleration_3d,market_pickup_acceleration_7d,city_share_of_market,province_observed_total,province_pickup_1d,province_pickup_3d,province_pickup_7d,province_pickup_14d,province_pickup_velocity_3d,province_pickup_velocity_7d,province_pickup_velocity_14d,province_pickup_acceleration_3d,province_pickup_acceleration_7d,city_share_of_province
1011,2024-05-31,10,19,213,194,19,10,0,0,0,8,0,0,0.5714,0,-1.143,0,0,0,0,8,32,9,5,2.375,1.317,23,0.1876,0.8124,101.3,82.28,1.9e+07,4,1,31,3,11,149,35.88,52.17,306.4,180,345,714.4,313.2,1.022,2.027,232.8,1.135e+05,7729,1.947e+04,4.459e+04,7.434e+04,6490,6371,5310,388,2121,0.0001675,3.396e+04,2627,6299,1.438e+04,2.314e+04,2100,2055,1653,75,804.6,0.0005595
1572,2024-05-31,21,6,17,11,6,21,0,0,4,6,0,0.5714,0.4286,-1.333,0.2857,0,0,0.6667,0,2,8,5,4,3,1,3,0.2319,0.7681,25.88,19.88,2.952,4,1,31,3,11,289,35.69,51.39,14.99,11,18,30,18.12,1.209,0.95,12.47,4.852e+04,3800,9390,2.127e+04,3.217e+04,3130,3038,2298,61.33,1481,0.0001237,7633,532,1300,3217,4912,433.3,459.6,350.9,-83,217.4,0.0007861
2101,2024-05-31,18,421,1972,1551,421,18,26,64,131,254,21.33,18.71,18.14,3,1.143,0.06176,0.152,0.3112,0.4885,31,38,0,43,13.58,11.01,38,0.1495,0.8505,2816,2395,4.21e+08,4,1,31,3,11,754,37.16,48.99,1749,1335,2179,3461,1573,0.8989,1.27,1441,6.201e+04,4484,1.349e+04,2.575e+04,4.126e+04,4497,3678,2947,1367,1463,0.00679,1.327e+04,1072,3244,5894,9039,1081,842,645.6,375.3,392.7,0.03172
2969,2024-05-31,25,0,59,59,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.08122,0.9188,0,0,0,4,1,31,3,11,987,35.74,51.82,281.2,148,255,393.2,591.3,2.103,1.306,234.5,3.626e+04,3090,9010,1.551e+04,2.471e+04,3003,2216,1765,1365,901.4,0,4307,242,971,1898,2976,323.7,271.1,212.6,103,117.1,0
3456,2024-05-31,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.2831,0.7169,0,0,0,4,1,31,3,11,289,35.26,57.97,4.036,3,6,10.6,4.586,1.136,1.014,3.17,6.201e+04,4484,1.349e+04,2.575e+04,4.126e+04,4497,3678,2947,1367,1463,0,9511,592,1878,3637,6228,626,519.6,444.9,192.7,149.4,0
5413,2024-05-31,25,1432,1.479e+04,1.336e+04,1432,25,173,535,782,1093,178.3,111.7,78.07,128.3,67.29,0.1208,0.3736,0.5461,0.6841,34,34,0,214,42.12,49.29,34,0.09919,0.9008,1.444e+04,1.301e+04,1.432e+09,4,1,31,3,11,754,37.37,49.13,1.361e+04,9789,1.844e+04,3.13e+04,1.292e+04,0.949,1.223,1.202e+04,3.626e+04,3090,9010,1.551e+04,2.471e+04,3003,2216,1765,1365,901.4,0.0395,7379,540,2013,3145,5063,671,449.3,361.6,389,175.3,0.1941
8840,2024-05-31,3,124,158,34,124,3,11,47,70,85,15.67,10,6.071,8.667,7.857,0.08871,0.379,0.5645,0.6714,32,55,0,23,3.875,4.526,55,0.7744,0.2256,160.1,36.13,1.24e+08,4,1,31,3,11,149,36.69,52.57,172.1,137,208,304,145.8,0.8469,1.025,126.9,2.314e+05,2.496e+04,6.777e+04,1.179e+05,1.625e+05,2.259e+04,1.685e+04,1.161e+04,9361,1.048e+04,0.0005359,7.915e+04,9137,2.566e+04,4.519e+04,5.958e+04,8555,6456,4255,3382,4401,0.001567
1183,2024-06-01,30,2837,3.187e+04,2.904e+04,2837,30,226,584,1236,1994,194.7,176.6,142.4,44.33,68.29,0.07966,0.2059,0.4357,0.4725,30,29,0,233,94.57,60.1,29,0.08874,0.9113,3.197e+04,2.913e+04,2.837e+09,5,0,1,3,12,987,35.7,51.35,3.956e+04,3.588e+04,4.315e+04,5.868e+04,1.446e+04,0.3654,1.232,3.4e+04,2.844e+04,1764,5178,1.165e+04,1.95e+04,1726,1664,1393,109.3,541.4,0.09976,3082,238,631,1332,2158,210.3,190.3,154.1,49,72.29,0.9205
1553,2024-06-01,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.2229,0.7771,0,0,0,5,0,1,3,12,149,36.58,52.81,0.005479,0,0,0,0.1047,19.1,0,0.03846,1.027e+05,7615,1.964e+04,4.424e+04,6.881e+04,6545,6320,4915,33,2811,0,3.125e+04,2714,6453,1.389e+04,2.12e+04,2151,1984,1514,175,938.7,0
2778,2024-06-01,2,3872,4797,925,3872,2,374,1004,2093,2782,334.7,299,198.7,31,200.6,0.09659,0.2593,0.5405,0.4797,55,57,0,374,70.4,99.17,57,0.7485,0.2515,5173,1301,3.872e+09,5,0,1,3,12,754,37.2,50.01,4533,3097,5266,9108,4506,0.9941,1.264,3787,2.927e+05,2.81e+04,8.045e+04,1.502e+05,2.04e+05,2.682e+04,2.146e+04,1.457e+04,7715,1.377e+04,0.01323,6.689e+04,6758,1.904e+04,3.6e+04,4.788e+04,6347,5143,3420,1723,3447,0.05789
