cut_height,shrinkage,n_groups,wape,normalised_bias,sparse_slice_wape,wape_2024-11-21,wape_2025-08-21,wape_2025-10-22
0.147374,0.0,321,0.120168,-0.051327,0.214129,0.125988,0.119047,0.118344
0.147374,1000.0,321,0.120167,-0.051326,0.214016,0.125987,0.119047,0.118344
0.147374,10000.0,321,0.120163,-0.051317,0.213137,0.125976,0.119044,0.118342
0.147374,100000.0,321,0.120164,-0.051274,0.21326,0.125954,0.119046,0.118356
0.147374,1000000.0,321,0.120205,-0.051224,0.222696,0.12595,0.119094,0.118415
0.147374,10000000.0,321,0.120221,-0.051214,0.226282,0.125951,0.119112,0.118437
0.33583,0.0,321,0.120168,-0.051327,0.224097,0.125988,0.119047,0.118344
0.33583,1000.0,321,0.120163,-0.051323,0.22387,0.125978,0.119044,0.118341
0.33583,10000.0,321,0.120139,-0.0513,0.222597,0.125918,0.119026,0.118329
0.33583,100000.0,321,0.120118,-0.051234,0.221523,0.125807,0.119005,0.118372
0.33583,1000000.0,321,0.120231,-0.051187,0.227373,0.12579,0.119114,0.118581
0.33583,10000000.0,321,0.120279,-0.051181,0.229862,0.125792,0.119165,0.118656
0.51142,0.0,321,0.120168,-0.051327,0.235521,0.125988,0.119047,0.118344
0.51142,1000.0,321,0.120157,-0.051309,0.235061,0.125969,0.119037,0.118339
0.51142,10000.0,321,0.120118,-0.051231,0.23333,0.125888,0.119,0.118326
0.51142,100000.0,321,0.120119,-0.051058,0.233358,0.125836,0.118983,0.118397
0.51142,1000000.0,321,0.120291,-0.050928,0.240956,0.125894,0.119142,0.118676
0.51142,10000000.0,321,0.120355,-0.050904,0.243809,0.12591,0.119203,0.118781
0.864659,0.0,321,0.120168,-0.051327,0.239035,0.125988,0.119047,0.118344
0.864659,1000.0,321,0.120151,-0.051292,0.238412,0.125961,0.119029,0.118338
0.864659,10000.0,321,0.120096,-0.051149,0.236335,0.125873,0.118966,0.118323
0.864659,100000.0,321,0.12011,-0.050827,0.23687,0.125958,0.118911,0.118426
0.864659,1000000.0,321,0.120417,-0.050598,0.248405,0.126183,0.119231,0.118764
0.864659,10000000.0,321,0.120531,-0.050557,0.252698,0.126235,0.119356,0.118899
1.970305,0.0,321,0.120168,-0.051327,0.24514,0.125988,0.119047,0.118344
1.970305,1000.0,321,0.120146,-0.051261,0.244383,0.125954,0.119024,0.118335
1.970305,10000.0,321,0.120096,-0.051015,0.242614,0.125852,0.118966,0.118336
1.970305,100000.0,321,0.12026,-0.050537,0.248409,0.125969,0.119081,0.118633
1.970305,1000000.0,321,0.120761,-0.050244,0.266094,0.126272,0.119619,0.119197
1.970305,10000000.0,321,0.120925,-0.050194,0.271887,0.126356,0.119792,0.1194
20.854305,0.0,321,0.120168,-0.051327,0.245638,0.125988,0.119047,0.118344
20.854305,1000.0,321,0.12015,-0.051269,0.245027,0.125962,0.119027,0.118338
20.854305,10000.0,321,0.120142,-0.051076,0.244718,0.125955,0.118999,0.118368
20.854305,100000.0,321,0.120534,-0.050693,0.258535,0.126489,0.119289,0.118868
20.854305,1000000.0,321,0.12134,-0.05043,0.286863,0.127071,0.120102,0.119815
20.854305,10000000.0,321,0.121579,-0.050378,0.295278,0.127199,0.120352,0.120112
