city_code,city,cluster_code,province_code,train_window_searches,province,n_cities_in_cluster
1011,reyneh,1011,149,238606.0,mazandaran,1
1013,quchan,1013,289,28.0,khorasan_razavi,1
1053,abbasabad,1053,149,698994.0,mazandaran,1
1054,daregaz,1054,289,52508.0,khorasan_razavi,1
1120,safadasht,1120,987,29199.0,tehran,1
1156,zargarmahaleh,1156,149,2.0,mazandaran,1
1173,arjomand,1173,987,8931.0,tehran,1
1177,kiasar,1177,149,83278.0,mazandaran,1
1183,tehran,1183,987,30084842.0,tehran,1
1209,golmakan,1209,289,2110.0,khorasan_razavi,1
1224,robatkarim,1224,987,25655.0,tehran,1
1239,nazar_abad,1239,929,10876.0,alborz,1
1265,rey,1265,987,18225.0,tehran,1
1297,alavijeh,1297,424,1533.0,isfahan,1
1299,bagh_bahadoran,1299,424,531395.0,isfahan,1
1307,kelachay,1307,149,15261.0,mazandaran,1
1317,rahimabad,1317,754,34955.0,gilan,1
1370,shahre_jadide_hashtgerd,1370,929,68.0,alborz,1
1371,torbat_e_heydarieh,1371,289,18031.0,khorasan_razavi,1
1402,rivash,1402,289,1178.0,khorasan_razavi,1
1460,mahabad_esf,1460,424,22578.0,isfahan,1
1494,paein_hular,1494,149,2.0,mazandaran,1
1496,kelarabad,1496,149,211797.0,mazandaran,1
1524,abu_musa,1524,490,3269.0,hormozgan,1
1553,kiakala,1553,149,2.0,mazandaran,1
1572,mashhadsamen,1572,289,15126.0,khorasan_razavi,1
1629,kooshk,1629,424,2.0,isfahan,1
1638,noor,1638,149,3152279.0,mazandaran,1
1668,dehaqan,1668,424,2605.0,isfahan,1
1675,miandoroud,1675,149,1135.0,mazandaran,1
1751,chamgordan,1751,424,2.0,isfahan,1
1782,khur_and_biabanak,1782,424,16254.0,isfahan,1
1859,baharestan,1859,424,5569.0,isfahan,1
1895,natanz,1895,424,57266.0,isfahan,1
1916,kilan,1916,987,15901.0,tehran,1
1931,nikabad,1931,424,2.0,isfahan,1
1960,lavandevil,1960,754,23843.0,gilan,1
1986,ardestan,1986,424,15387.0,isfahan,1
1996,shelman,1996,754,5335.0,gilan,1
2028,marzikola,2028,149,52334.0,mazandaran,1
2099,kish,2099,490,14179586.0,hormozgan,1
2101,masuleh,2101,754,1293441.0,gilan,1
2108,neghab,2108,289,2.0,khorasan_razavi,1
2126,gazbarkhar,2126,424,2.0,isfahan,1
2136,hajjiabad_hormozgan,2136,490,2.0,hormozgan,1
2154,zavareh,2154,424,4537.0,isfahan,1
2168,abrisham,2168,424,6835.0,isfahan,1
2195,amol,2195,149,775490.0,mazandaran,1
2302,kameh,2302,424,2.0,isfahan,1
2335,kahrizsang,2335,424,478.0,isfahan,1
2337,sooza,2337,490,17391.0,hormozgan,1
2363,khalilshahr,2363,149,19852.0,mazandaran,1
2406,nasirabad,2406,987,691.0,tehran,1
2423,fooladshahr,2423,424,6259.0,isfahan,1
2424,sarakhs,2424,289,2.0,khorasan_razavi,1
2451,javadabad,2451,987,2.0,tehran,1
2483,dargahan,2483,490,520506.0,hormozgan,1
2575,davarzan,2575,289,2.0,khorasan_razavi,1
2587,langarud,2587,754,433173.0,gilan,1
2642,parsian,2642,490,299903.0,hormozgan,1
2668,vezvan,2668,424,116.0,isfahan,1
2670,niasar,2670,424,63222.0,isfahan,1
2692,astara,2692,754,1186769.0,gilan,1
2728,lavan,2728,490,33547.0,hormozgan,1
2730,eshtehard,2730,929,1923.0,alborz,1
2751,manjil,2751,754,30990.0,gilan,1
2778,lahijan,2778,754,3083669.0,gilan,1
2852,lisar,2852,754,31495.0,gilan,1
2854,choobar,2854,754,18149.0,gilan,1
2894,amirkola,2894,149,2.0,mazandaran,1
2908,gharchak,2908,987,2.0,tehran,1
2949,shahriar,2949,987,2923017.0,tehran,1
2951,sheshtamad,2951,289,2.0,khorasan_razavi,1
2969,pardis,2969,987,149434.0,tehran,1
2992,kalebast,2992,149,300.0,mazandaran,1
3042,golpayegan,3042,424,94633.0,isfahan,1
3109,kodkan,3109,289,2.0,khorasan_razavi,1
3124,khomam,3124,754,259206.0,gilan,1
3127,loshan,3127,754,2.0,gilan,1
3140,taleqan,3140,929,394269.0,alborz,1
3217,bumehen,3217,987,148892.0,tehran,1
3312,andisheh,3312,987,52513.0,tehran,1
3333,behshahr,3333,149,607852.0,mazandaran,1
3351,zayanderood,3351,424,1951.0,isfahan,1
3364,asara,3364,929,14338.0,alborz,1
3365,rudehen,3365,987,1033543.0,tehran,1
3382,farim,3382,149,7649.0,mazandaran,1
3396,dolatabad,3396,289,1039.0,khorasan_razavi,1
3456,bardeskan,3456,289,1477.0,khorasan_razavi,1
3478,behnamir,3478,149,15505.0,mazandaran,1
3523,tonekabon,3523,149,3859087.0,mazandaran,1
3578,kohikheyl,3578,149,2.0,mazandaran,1
3617,sharifabad,3617,987,1831.0,tehran,1
3723,bandar_lengeh,3723,490,43340.0,hormozgan,1
3752,bika,3752,490,2.0,hormozgan,1
3771,gorabzarmikh,3771,754,8717.0,gilan,1
3832,koohpayeh,3832,424,3912.0,isfahan,1
3837,badrood,3837,424,8683.0,isfahan,1
3870,koomleh,3870,754,9240.0,gilan,1
3892,izadshahr,3892,149,669723.0,mazandaran,1
3914,meygoon,3914,987,167505.0,tehran,1
3927,falavarjan,3927,424,5873.0,isfahan,1
3933,alasht,3933,149,102510.0,mazandaran,1
3935,bakharz,3935,289,2.0,khorasan_razavi,1
4078,kharv,4078,289,2.0,khorasan_razavi,1
4125,shahedshahr,4125,987,2850.0,tehran,1
4138,zarrinshahr,4138,424,10342.0,isfahan,1
4161,sangar,4161,754,152557.0,gilan,1
4174,gatab,4174,149,429.0,mazandaran,1
4192,lashtnesha,4192,754,30074.0,gilan,1
4198,barehsar,4198,754,34573.0,gilan,1
