city_code,city,cluster_code,province_code,train_window_searches,province,n_cities_in_cluster
1011,reyneh,1011,149,238606.0,mazandaran,11
1177,kiasar,1011,149,83278.0,mazandaran,11
2028,marzikola,1011,149,52334.0,mazandaran,11
2363,khalilshahr,1011,149,19852.0,mazandaran,11
3382,farim,1011,149,7649.0,mazandaran,11
3933,alasht,1011,149,102510.0,mazandaran,11
4247,baladeh,1011,149,26220.0,mazandaran,11
6752,marzanabad,1011,149,182565.0,mazandaran,11
7228,zirab,1011,149,149394.0,mazandaran,11
8913,polsefid,1011,149,101001.0,mazandaran,11
9508,rostamkola,1011,149,11833.0,mazandaran,11
1013,quchan,1013,289,28.0,khorasan_razavi,1
1053,abbasabad,1053,149,698994.0,mazandaran,1
1054,daregaz,1054,289,52508.0,khorasan_razavi,6
4419,nishapur,1054,289,282448.0,khorasan_razavi,6
5506,kalat,1054,289,48471.0,khorasan_razavi,6
5720,shandiz,1054,289,140251.0,khorasan_razavi,6
6430,chenaran,1054,289,10189.0,khorasan_razavi,6
9806,torghabeh,1054,289,92945.0,khorasan_razavi,6
1120,safadasht,1120,987,29199.0,tehran,11
1173,arjomand,1120,987,8931.0,tehran,11
3217,bumehen,1120,987,148892.0,tehran,11
3914,meygoon,1120,987,167505.0,tehran,11
6261,abali,1120,987,49724.0,tehran,11
6418,dizin,1120,987,85223.0,tehran,11
7222,malard,1120,987,262096.0,tehran,11
7896,ahmadabade_mostowfi,1120,987,36058.0,tehran,11
8270,baghestan,1120,987,21261.0,tehran,11
9077,shemshak,1120,987,181530.0,tehran,11
9899,absard,1120,987,79605.0,tehran,11
1156,zargarmahaleh,1156,149,2.0,mazandaran,7
1494,paein_hular,1156,149,2.0,mazandaran,7
1553,kiakala,1156,149,2.0,mazandaran,7
2894,amirkola,1156,149,2.0,mazandaran,7
3578,kohikheyl,1156,149,2.0,mazandaran,7
5686,gazanak,1156,149,2.0,mazandaran,7
8728,chali,1156,149,2.0,mazandaran,7
1183,tehran,1183,987,30084842.0,tehran,1
