cluster_code,checkin,predicted_demand
1011,2025-11-22,140
1011,2025-11-23,183
1011,2025-11-24,133
1011,2025-11-25,124
1011,2025-11-26,138
1011,2025-11-27,477
1011,2025-11-28,152
1011,2025-11-29,96
1011,2025-11-30,99
1011,2025-12-01,121
1011,2025-12-02,88
1011,2025-12-03,192
1011,2025-12-04,552
1011,2025-12-05,137
1011,2025-12-06,107
1011,2025-12-07,98
1011,2025-12-08,116
1011,2025-12-09,118
1011,2025-12-10,166
1011,2025-12-11,678
1011,2025-12-12,227
1011,2025-12-13,128
1011,2025-12-14,103
1011,2025-12-15,146
1011,2025-12-16,155
1011,2025-12-17,232
1011,2025-12-18,723
1011,2025-12-19,153
1011,2025-12-20,147
1011,2025-12-21,96
1013,2025-11-22,0
1013,2025-11-23,0
1013,2025-11-24,0
1013,2025-11-25,0
1013,2025-11-26,0
1013,2025-11-27,0
1013,2025-11-28,0
1013,2025-11-29,0
1013,2025-11-30,0
1013,2025-12-01,0
1013,2025-12-02,0
1013,2025-12-03,0
1013,2025-12-04,0
1013,2025-12-05,0
1013,2025-12-06,0
1013,2025-12-07,0
1013,2025-12-08,0
1013,2025-12-09,0
1013,2025-12-10,0
1013,2025-12-11,0
1013,2025-12-12,0
1013,2025-12-13,0
1013,2025-12-14,0
1013,2025-12-15,0
1013,2025-12-16,0
1013,2025-12-17,0
1013,2025-12-18,0
1013,2025-12-19,0
1013,2025-12-20,0
1013,2025-12-21,0
1053,2025-11-22,645
1053,2025-11-23,567
1053,2025-11-24,577
1053,2025-11-25,548
1053,2025-11-26,711
1053,2025-11-27,1053
1053,2025-11-28,467
1053,2025-11-29,297
1053,2025-11-30,284
1053,2025-12-01,245
1053,2025-12-02,276
1053,2025-12-03,587
1053,2025-12-04,828
1053,2025-12-05,224
1053,2025-12-06,271
1053,2025-12-07,276
1053,2025-12-08,261
1053,2025-12-09,265
1053,2025-12-10,392
1053,2025-12-11,844
1053,2025-12-12,319
1053,2025-12-13,267
1053,2025-12-14,252
1053,2025-12-15,264
1053,2025-12-16,293
1053,2025-12-17,438
1053,2025-12-18,589
1053,2025-12-19,331
1053,2025-12-20,300
1053,2025-12-21,247
1054,2025-11-22,20
1054,2025-11-23,24
1054,2025-11-24,7
1054,2025-11-25,8
1054,2025-11-26,7
1054,2025-11-27,10
1054,2025-11-28,3
1054,2025-11-29,2
1054,2025-11-30,3
1054,2025-12-01,3
1054,2025-12-02,5
1054,2025-12-03,10
1054,2025-12-04,13
1054,2025-12-05,4
1054,2025-12-06,4
1054,2025-12-07,4
1054,2025-12-08,4
1054,2025-12-09,6
1054,2025-12-10,8
1054,2025-12-11,17
1054,2025-12-12,5
1054,2025-12-13,4
1054,2025-12-14,3
1054,2025-12-15,4
1054,2025-12-16,5
1054,2025-12-17,7
1054,2025-12-18,14
1054,2025-12-19,7
1054,2025-12-20,4
1054,2025-12-21,3
1120,2025-11-22,19
1120,2025-11-23,22
1120,2025-11-24,16
1120,2025-11-25,13
1120,2025-11-26,19
1120,2025-11-27,77
1120,2025-11-28,20
1120,2025-11-29,9
1120,2025-11-30,15
1120,2025-12-01,14
1120,2025-12-02,19
1120,2025-12-03,13
1120,2025-12-04,58
1120,2025-12-05,23
1120,2025-12-06,16
1120,2025-12-07,15
1120,2025-12-08,15
1120,2025-12-09,16
1120,2025-12-10,19
1120,2025-12-11,58
1120,2025-12-12,19
1120,2025-12-13,17
1120,2025-12-14,15
1120,2025-12-15,19
1120,2025-12-16,19
1120,2025-12-17,21
1120,2025-12-18,47
1120,2025-12-19,23
1120,2025-12-20,18
1120,2025-12-21,13
1156,2025-11-22,0
1156,2025-11-23,0
1156,2025-11-24,0
1156,2025-11-25,0
1156,2025-11-26,0
1156,2025-11-27,0
1156,2025-11-28,0
1156,2025-11-29,0
1156,2025-11-30,0
1156,2025-12-01,0
1156,2025-12-02,0
1156,2025-12-03,0
1156,2025-12-04,0
1156,2025-12-05,0
1156,2025-12-06,0
1156,2025-12-07,0
1156,2025-12-08,0
1156,2025-12-09,0
1156,2025-12-10,0
1156,2025-12-11,0
1156,2025-12-12,0
1156,2025-12-13,0
1156,2025-12-14,0
1156,2025-12-15,0
1156,2025-12-16,0
1156,2025-12-17,0
1156,2025-12-18,0
1156,2025-12-19,0
1156,2025-12-20,0
1156,2025-12-21,0
1173,2025-11-22,0
1173,2025-11-23,0
1173,2025-11-24,8
1173,2025-11-25,3
1173,2025-11-26,1
1173,2025-11-27,8
1173,2025-11-28,0
1173,2025-11-29,0
1173,2025-11-30,1
1173,2025-12-01,0
1173,2025-12-02,1
1173,2025-12-03,2
1173,2025-12-04,6
1173,2025-12-05,1
1173,2025-12-06,1
1173,2025-12-07,1
1173,2025-12-08,1
1173,2025-12-09,1
1173,2025-12-10,2
1173,2025-12-11,8
1173,2025-12-12,1
1173,2025-12-13,1
1173,2025-12-14,1
1173,2025-12-15,2
1173,2025-12-16,2
1173,2025-12-17,3
1173,2025-12-18,7
1173,2025-12-19,2
1173,2025-12-20,2
1173,2025-12-21,1
1177,2025-11-22,41
1177,2025-11-23,56
1177,2025-11-24,44
1177,2025-11-25,43
