cluster_code,checkin,predicted_demand
1011,2025-11-22,692
1011,2025-11-23,823
1011,2025-11-24,593
1011,2025-11-25,687
1011,2025-11-26,1039
1011,2025-11-27,1894
1011,2025-11-28,550
1011,2025-11-29,380
1011,2025-11-30,386
1011,2025-12-01,429
1011,2025-12-02,457
1011,2025-12-03,835
1011,2025-12-04,2399
1011,2025-12-05,592
1011,2025-12-06,445
1011,2025-12-07,416
1011,2025-12-08,422
1011,2025-12-09,444
1011,2025-12-10,755
1011,2025-12-11,2130
1011,2025-12-12,641
1011,2025-12-13,407
1011,2025-12-14,356
1011,2025-12-15,466
1011,2025-12-16,514
1011,2025-12-17,859
1011,2025-12-18,1641
1011,2025-12-19,561
1011,2025-12-20,407
1011,2025-12-21,284
1013,2025-11-22,0
1013,2025-11-23,0
1013,2025-11-24,0
1013,2025-11-25,0
1013,2025-11-26,0
1013,2025-11-27,0
1013,2025-11-28,0
1013,2025-11-29,0
1013,2025-11-30,0
1013,2025-12-01,0
1013,2025-12-02,0
1013,2025-12-03,0
1013,2025-12-04,0
1013,2025-12-05,0
1013,2025-12-06,0
1013,2025-12-07,0
1013,2025-12-08,0
1013,2025-12-09,0
1013,2025-12-10,0
1013,2025-12-11,0
1013,2025-12-12,0
1013,2025-12-13,0
1013,2025-12-14,0
1013,2025-12-15,0
1013,2025-12-16,0
1013,2025-12-17,0
1013,2025-12-18,0
1013,2025-12-19,0
1013,2025-12-20,0
1013,2025-12-21,0
1053,2025-11-22,647
1053,2025-11-23,557
1053,2025-11-24,563
1053,2025-11-25,563
1053,2025-11-26,739
1053,2025-11-27,983
1053,2025-11-28,443
1053,2025-11-29,294
1053,2025-11-30,268
1053,2025-12-01,229
1053,2025-12-02,223
1053,2025-12-03,562
1053,2025-12-04,850
1053,2025-12-05,246
1053,2025-12-06,278
1053,2025-12-07,315
1053,2025-12-08,300
1053,2025-12-09,288
1053,2025-12-10,381
1053,2025-12-11,717
1053,2025-12-12,346
1053,2025-12-13,230
1053,2025-12-14,241
1053,2025-12-15,248
1053,2025-12-16,272
1053,2025-12-17,419
1053,2025-12-18,505
1053,2025-12-19,298
1053,2025-12-20,251
1053,2025-12-21,246
1054,2025-11-22,553
1054,2025-11-23,492
1054,2025-11-24,414
1054,2025-11-25,355
1054,2025-11-26,399
1054,2025-11-27,661
1054,2025-11-28,183
1054,2025-11-29,194
1054,2025-11-30,196
1054,2025-12-01,279
1054,2025-12-02,262
1054,2025-12-03,449
1054,2025-12-04,877
1054,2025-12-05,311
1054,2025-12-06,251
1054,2025-12-07,222
1054,2025-12-08,219
1054,2025-12-09,265
1054,2025-12-10,347
1054,2025-12-11,933
1054,2025-12-12,251
1054,2025-12-13,277
1054,2025-12-14,235
1054,2025-12-15,354
1054,2025-12-16,269
1054,2025-12-17,342
1054,2025-12-18,742
1054,2025-12-19,467
1054,2025-12-20,299
1054,2025-12-21,225
1120,2025-11-22,583
1120,2025-11-23,760
1120,2025-11-24,619
1120,2025-11-25,535
1120,2025-11-26,674
1120,2025-11-27,2071
1120,2025-11-28,685
1120,2025-11-29,366
1120,2025-11-30,410
1120,2025-12-01,506
1120,2025-12-02,505
1120,2025-12-03,679
1120,2025-12-04,2946
