feature,importance,share
city_hist_median,0.23511965925554015,0.23511965925554018
city_hist_mean,0.22406479625144463,0.22406479625144465
city_weekday_mean,0.19463178075882817,0.1946317807588282
city_hist_p75,0.14442739565955792,0.14442739565955795
pickup_baseline_remaining,0.060134107259790515,0.06013410725979052
city_code,0.03206882518163134,0.032068825181631344
city_hist_p90,0.023014545307806937,0.02301454530780694
city_hist_std,0.01586837314831429,0.015868373148314293
days_since_last_search,0.012272077719291244,0.012272077719291246
pickup_baseline_prediction,0.010133555500072482,0.010133555500072484
jalali_month,0.008377355630595822,0.008377355630595823
observed_total,0.0052131728029187925,0.005213172802918793
city_volatility,0.004945132137329043,0.004945132137329044
days_to_checkin,0.002930205080167861,0.0029302050801678615
expected_completion_fraction,0.002790170077037018,0.0027901700770370185
jalali_day,0.0014570810873416194,0.0014570810873416197
checkin_weekday,0.001356184319334252,0.0013561843193342523
active_search_days,0.0013415293734734175,0.0013415293734734177
checkin_day_of_month,0.0013402553105993165,0.0013402553105993167
lat,0.0011211640104046455,0.0011211640104046457
market_pickup_14d,0.0010809654443432151,0.0010809654443432154
market_observed_total,0.0010521762024551175,0.0010521762024551177
province_pickup_3d,0.0010351012248581283,0.0010351012248581285
city_share_of_province,0.0008811678455660962,0.0008811678455660963
market_pickup_acceleration_7d,0.0008535298489252707,0.0008535298489252708
province_observed_total,0.0008235186811352466,0.0008235186811352467
market_pickup_1d,0.0007876048431619379,0.000787604843161938
province_pickup_14d,0.0007673835358484365,0.0007673835358484366
province_pickup_7d,0.0007354824345136689,0.000735482434513669
market_pickup_3d,0.0006968970246792442,0.0006968970246792444
is_weekend,0.000685822784918917,0.0006858227849189171
market_pickup_7d,0.0006471910561118056,0.0006471910561118057
expected_remaining_fraction,0.0006412453120483417,0.0006412453120483418
long,0.0006305267188511194,0.0006305267188511195
market_pickup_acceleration_3d,0.0006273184012964445,0.0006273184012964446
city_weekend_ratio,0.0005662941927297415,0.0005662941927297416
days_since_first_search,0.0004654613604640565,0.0004654613604640566
city_share_of_market,0.00046294625422654584,0.0004629462542265459
province_pickup_1d,0.00040100656945500906,0.0004010065694550091
pickup_surprise,0.0003989601690526171,0.00039896016905261714
province_pickup_acceleration_7d,0.00034710000111942804,0.0003471000011194281
province_code,0.00023055635560837047,0.0002305563556083705
search_span,0.0002202299067665282,0.00022022990676652822
province_pickup_velocity_3d,0.0002168094025262906,0.00021680940252629064
market_pickup_velocity_14d,0.00019719638781828065,0.00019719638781828068
pickup_1d_share,0.0001932847119839422,0.00019328471198394224
mean_daily_search,0.00018151422302018148,0.0001815142230201815
pickup_7d_share,0.0001787069174520147,0.00017870691745201472
pickup_3d,0.00016407807317035222,0.00016407807317035225
province_pickup_acceleration_3d,0.0001342572177363659,0.00013425721773636592
max_daily_search,0.00013088434934611248,0.0001308843493461125
std_daily_search,0.00012700688846672967,0.0001270068884667297
province_pickup_velocity_14d,0.00012357623345122674,0.00012357623345122677
province_pickup_velocity_7d,0.00011816250743756355,0.00011816250743756356
market_pickup_velocity_3d,0.00010585246266374166,0.00010585246266374167
pickup_3d_share,0.00010080456898228256,0.00010080456898228257
pickup_acceleration_7d,9.041570352076672e-05,9.041570352076673e-05
market_pickup_velocity_7d,8.974447924953269e-05,8.97444792495327e-05
pickup_1d,6.456192511179703e-05,6.456192511179704e-05
pickup_14d,5.423064795950632e-05,5.423064795950633e-05
pickup_7d,2.832901585064235e-05,2.8329015850642355e-05
pickup_acceleration_3d,2.24204412272688e-05,2.2420441227268804e-05
pickup_3d_over_7d,1.236266413751291e-05,1.2362664137512912e-05
pickup_velocity_3d,8.395815222188153e-06,8.395815222188154e-06
pickup_velocity_14d,6.448095904721152e-06,6.4480959047211525e-06
pickup_velocity_7d,5.105228146220684e-06,5.105228146220685e-06
