feature,importance,share
city_hist_mean,0.5272513824074392,0.5272513824074393
city_hist_std,0.17317584573744169,0.1731758457374417
pickup_baseline_remaining,0.06286772410417606,0.06286772410417607
city_weekday_mean,0.055252934652357824,0.05525293465235783
city_code,0.051774608558228394,0.0517746085582284
observed_total,0.02043405524803759,0.020434055248037594
city_weekend_ratio,0.016099769507538688,0.01609976950753869
city_hist_p90,0.01574936251625252,0.015749362516252523
pickup_baseline_prediction,0.00987036821931167,0.009870368219311672
city_hist_median,0.0097615576750024,0.009761557675002402
jalali_month,0.009068593385052367,0.009068593385052368
days_since_last_search,0.004622363034011883,0.004622363034011884
active_search_days,0.004148718113858394,0.004148718113858395
days_since_first_search,0.003514573525211293,0.0035145735252112933
long,0.003291052376131749,0.0032910523761317495
city_volatility,0.003194222937828571,0.0031942229378285713
days_to_checkin,0.0025012218383619333,0.0025012218383619338
expected_completion_fraction,0.002441748269516399,0.0024417482695163993
city_share_of_market,0.0023167232838099106,0.002316723283809911
lat,0.0022859777506783873,0.0022859777506783877
city_share_of_province,0.0021552253634697467,0.002155225363469747
city_hist_p75,0.0017421250617283832,0.0017421250617283834
jalali_day,0.001386718177403841,0.0013867181774038413
market_observed_total,0.0012249688381044438,0.001224968838104444
checkin_day_of_month,0.001096401760762704,0.0010964017607627042
checkin_weekday,0.0010085776282393072,0.0010085776282393074
province_observed_total,0.0007480301383031359,0.000748030138303136
search_span,0.0007215341720770497,0.0007215341720770498
market_pickup_3d,0.0007057884734616565,0.0007057884734616567
market_pickup_1d,0.0006804300370979591,0.0006804300370979592
province_pickup_14d,0.000678888354627943,0.0006788883546279431
market_pickup_acceleration_7d,0.0006650344704647088,0.0006650344704647089
expected_remaining_fraction,0.0006367225385899584,0.0006367225385899585
province_pickup_3d,0.0006184501617185081,0.0006184501617185083
is_weekend,0.0006160040886402922,0.0006160040886402923
market_pickup_14d,0.0005986715529437093,0.0005986715529437094
market_pickup_7d,0.0005510373950330686,0.0005510373950330687
province_pickup_7d,0.0005325982423266286,0.0005325982423266287
province_code,0.000480551654507372,0.00048055165450737203
market_pickup_acceleration_3d,0.000471451369676211,0.00047145136967621104
province_pickup_1d,0.0004428437682440165,0.0004428437682440166
pickup_surprise,0.0003574021742364952,0.00035740217423649523
province_pickup_acceleration_7d,0.00032648382141387916,0.0003264838214138792
pickup_1d_share,0.00018124083765375302,0.00018124083765375305
province_pickup_velocity_3d,0.0001682740139722126,0.00016827401397221262
pickup_7d_share,0.00014964222578894634,0.00014964222578894637
province_pickup_acceleration_3d,0.0001468295451787215,0.00014682954517872152
market_pickup_velocity_3d,0.00013927467491071385,0.00013927467491071387
mean_daily_search,0.00013681428398666003,0.00013681428398666006
max_daily_search,0.00013251459635701328,0.0001325145963570133
market_pickup_velocity_14d,0.00011376581769148159,0.0001137658176914816
pickup_3d_share,0.00010282937891417939,0.0001028293789141794
province_pickup_velocity_14d,9.989531282836837e-05,9.989531282836838e-05
std_daily_search,9.522538721576174e-05,9.522538721576176e-05
market_pickup_velocity_7d,9.24372646421512e-05,9.243726464215122e-05
province_pickup_velocity_7d,8.299744331694532e-05,8.299744331694533e-05
pickup_14d,7.0791890259631e-05,7.079189025963101e-05
pickup_3d,4.842044035762287e-05,4.842044035762288e-05
pickup_1d,4.67131931296446e-05,4.6713193129644606e-05
pickup_7d,4.2063736476433766e-05,4.206373647643377e-05
pickup_acceleration_7d,3.7805740237311004e-05,3.780574023731101e-05
pickup_acceleration_3d,1.3424475395626777e-05,1.3424475395626779e-05
pickup_velocity_3d,1.3184262837146853e-05,1.3184262837146854e-05
pickup_velocity_14d,7.58862688010972e-06,7.588626880109721e-06
pickup_3d_over_7d,5.8639186792761755e-06,5.863918679276176e-06
pickup_velocity_7d,3.6605499723767047e-06,3.660549972376705e-06
