feature,importance,share
city_hist_mean,0.32932448122988034,0.3293244812298804
city_weekday_mean,0.18530876650504272,0.18530876650504274
city_hist_median,0.1006364022248934,0.10063640222489341
city_hist_p90,0.07818321137807845,0.07818321137807846
cluster_min_member_volume,0.07396809280358599,0.073968092803586
pickup_baseline_remaining,0.06636542780433102,0.06636542780433104
city_hist_p75,0.06532709482605815,0.06532709482605817
city_code,0.030535456263130242,0.030535456263130246
pickup_baseline_prediction,0.014571273745205254,0.014571273745205256
city_volatility,0.00802650932848245,0.008026509328482452
jalali_month,0.006848338470655876,0.006848338470655877
observed_total,0.003526697483524515,0.0035266974835245156
days_to_checkin,0.003094610480981243,0.0030946104809812434
days_since_last_search,0.002870321232774932,0.0028703212327749325
expected_completion_fraction,0.0024529826656038236,0.002452982665603824
city_hist_std,0.002430408367269569,0.0024304083672695696
days_since_first_search,0.002381645797275404,0.0023816457972754045
province_pickup_7d,0.0018302013769307406,0.0018302013769307408
search_span,0.001453949671397645,0.0014539496713976451
jalali_day,0.0013695238949316076,0.0013695238949316079
market_pickup_acceleration_7d,0.0011935874904902494,0.0011935874904902496
checkin_day_of_month,0.001145131504059488,0.0011451315040594881
lat,0.001032642371367512,0.0010326423713675121
city_share_of_province,0.0010140564619446032,0.0010140564619446034
market_observed_total,0.0009738085549375591,0.0009738085549375592
checkin_weekday,0.0009461164727687092,0.0009461164727687093
province_pickup_3d,0.000883802053732863,0.0008838020537328631
market_pickup_3d,0.0008521603974557799,0.00085216039745578
is_weekend,0.0008353208033715021,0.0008353208033715022
pickup_surprise,0.0007397990210494584,0.0007397990210494585
expected_remaining_fraction,0.0007237305515758876,0.0007237305515758877
market_pickup_1d,0.0007085982570672058,0.0007085982570672059
active_search_days,0.0006379628175687996,0.0006379628175687997
province_pickup_14d,0.0006377690345211042,0.0006377690345211043
market_pickup_14d,0.0006058977596085432,0.0006058977596085433
market_pickup_acceleration_3d,0.0005968848076409012,0.0005968848076409013
province_observed_total,0.0005900665520320146,0.0005900665520320147
market_pickup_7d,0.0005831811650732982,0.0005831811650732983
city_share_of_market,0.0004993095991922778,0.0004993095991922779
province_pickup_1d,0.0004769628750478488,0.00047696287504784884
province_pickup_velocity_7d,0.0003750117751749788,0.00037501177517497886
city_weekend_ratio,0.000368844256404213,0.00036884425640421303
long,0.0003324524167140033,0.00033245241671400337
province_code,0.00030957833339354234,0.0003095783333935424
province_pickup_acceleration_7d,0.0002667468849664623,0.00026674688496646236
province_pickup_velocity_3d,0.00022902232111034177,0.0002290223211103418
pickup_1d_share,0.00020618072875196774,0.00020618072875196777
mean_daily_search,0.00020090159989707908,0.0002009015998970791
pickup_7d_share,0.00018587104096908058,0.0001858710409690806
market_pickup_velocity_3d,0.00018146510524708314,0.00018146510524708317
market_pickup_velocity_7d,0.00016659832910414466,0.00016659832910414469
std_daily_search,0.0001290127508238836,0.00012901275082388363
pickup_3d,0.0001239014371530594,0.00012390143715305943
province_pickup_acceleration_3d,0.0001199769484064316,0.00011997694840643161
max_daily_search,0.00010753418636692702,0.00010753418636692704
pickup_3d_share,9.771407737746383e-05,9.771407737746385e-05
market_pickup_velocity_14d,9.707720275712331e-05,9.707720275712333e-05
pickup_1d,7.926403653166439e-05,7.92640365316644e-05
province_pickup_velocity_14d,7.75318859661722e-05,7.753188596617221e-05
pickup_acceleration_7d,4.2825708644097644e-05,4.282570864409765e-05
pickup_14d,4.0820828791856046e-05,4.082082879185605e-05
pickup_acceleration_3d,2.422718782523616e-05,2.4227187825236162e-05
pickup_7d,2.2467054707908034e-05,2.2467054707908038e-05
pickup_3d_over_7d,1.180025974469282e-05,1.1800259744692821e-05
pickup_velocity_14d,9.355797035807542e-06,9.355797035807543e-06
pickup_velocity_7d,6.938877625047389e-06,6.93887762504739e-06
pickup_velocity_3d,4.69486797070156e-06,4.694867970701561e-06
cluster_max_member_share,0.0,0.0
n_cities_in_cluster,0.0,0.0
