feature,importance,share
city_hist_mean,0.3064114499784376,0.3064114499784376
city_weekday_mean,0.2733089096314061,0.2733089096314061
pickup_baseline_remaining,0.17432353476438467,0.17432353476438467
city_hist_p75,0.04594761918358252,0.04594761918358252
pickup_baseline_prediction,0.039680795916335596,0.039680795916335596
city_hist_median,0.02479607596417033,0.02479607596417033
city_code,0.02247358254422674,0.02247358254422674
jalali_month,0.019122277484954136,0.019122277484954136
city_hist_p90,0.008313264863508623,0.008313264863508623
jalali_day,0.005650335207330199,0.005650335207330199
days_since_first_search,0.005143218348917424,0.005143218348917424
days_to_checkin,0.0049781591836446995,0.0049781591836446995
city_share_of_market,0.00489202236397346,0.00489202236397346
search_span,0.004180446883212746,0.004180446883212746
checkin_day_of_month,0.0037568532636521046,0.0037568532636521046
observed_total,0.003486313364450445,0.003486313364450445
city_share_of_province,0.003484772293484383,0.003484772293484383
market_pickup_acceleration_7d,0.0027961580252072217,0.0027961580252072217
cluster_min_member_volume,0.0027942973920142052,0.0027942973920142052
expected_completion_fraction,0.002576717352709592,0.002576717352709592
market_observed_total,0.002504477220030236,0.002504477220030236
market_pickup_3d,0.002419229363166845,0.002419229363166845
checkin_weekday,0.002410881929333445,0.002410881929333445
is_weekend,0.002271892998618686,0.002271892998618686
market_pickup_acceleration_3d,0.0018580910547855256,0.0018580910547855256
market_pickup_1d,0.0018034138805419087,0.0018034138805419087
city_hist_std,0.0016538577721083528,0.0016538577721083528
market_pickup_14d,0.0014500786780454748,0.0014500786780454748
lat,0.0014335967494873076,0.0014335967494873076
active_search_days,0.0013613328053900973,0.0013613328053900973
province_observed_total,0.0013396615253294707,0.0013396615253294707
market_pickup_7d,0.001299287519768085,0.001299287519768085
province_pickup_acceleration_7d,0.0012679310974531416,0.0012679310974531416
city_volatility,0.0011897534002390429,0.0011897534002390429
province_pickup_1d,0.0011809551242222473,0.0011809551242222473
pickup_7d_share,0.0011463792909542948,0.0011463792909542948
province_pickup_14d,0.001051328835270299,0.001051328835270299
province_pickup_3d,0.0010232612034453141,0.0010232612034453141
province_pickup_7d,0.0009633817593449412,0.0009633817593449412
pickup_3d,0.000940877617189267,0.000940877617189267
expected_remaining_fraction,0.0009349369385216647,0.0009349369385216647
pickup_1d_share,0.0009345446485507949,0.0009345446485507949
mean_daily_search,0.0008065958945594684,0.0008065958945594684
pickup_1d,0.0006629954717251549,0.0006629954717251549
std_daily_search,0.0006566768448338108,0.0006566768448338108
province_pickup_acceleration_3d,0.0006532608229854705,0.0006532608229854705
pickup_3d_share,0.0006046486906355466,0.0006046486906355466
max_daily_search,0.0005931183130023895,0.0005931183130023895
long,0.0005306470399991346,0.0005306470399991346
pickup_surprise,0.0004676069138189173,0.0004676069138189173
city_weekend_ratio,0.00046256009690842995,0.00046256009690842995
province_code,0.0004307332528639523,0.0004307332528639523
days_since_last_search,0.00041880332948937543,0.00041880332948937543
market_pickup_velocity_3d,0.0003824324294770894,0.0003824324294770894
market_pickup_velocity_14d,0.0003061491728410667,0.0003061491728410667
province_pickup_velocity_3d,0.00030011455071859815,0.00030011455071859815
pickup_acceleration_7d,0.0002806829425499868,0.0002806829425499868
market_pickup_velocity_7d,0.00027908867352463335,0.00027908867352463335
pickup_7d,0.0002301162042581219,0.0002301162042581219
pickup_velocity_3d,0.00022615222349433846,0.00022615222349433846
pickup_acceleration_3d,0.000222435649938253,0.000222435649938253
pickup_14d,0.00020699046908254624,0.00020699046908254624
province_pickup_velocity_7d,0.00020439722880848482,0.00020439722880848482
pickup_3d_over_7d,0.00020345239881815262,0.00020345239881815262
province_pickup_velocity_14d,0.00019629886072613232,0.00019629886072613232
pickup_velocity_14d,5.16882182747387e-05,5.16882182747387e-05
pickup_velocity_7d,3.346212832684045e-05,3.346212832684045e-05
cluster_max_member_share,3.293675694012877e-05,3.293675694012877e-05
n_cities_in_cluster,0.0,0.0
