feature,importance,share
cluster_min_member_volume,0.4312540177174673,0.4312540177174673
city_code,0.25195531794688797,0.25195531794688797
pickup_baseline_remaining,0.16497729981478482,0.16497729981478482
observed_total,0.03610518452391004,0.03610518452391004
jalali_month,0.022378876909687515,0.022378876909687515
city_share_of_market,0.01926301881714839,0.01926301881714839
jalali_day,0.010483965557662867,0.010483965557662867
province_observed_total,0.007343437058619054,0.007343437058619054
days_since_last_search,0.0070165172957807375,0.0070165172957807375
checkin_weekday,0.006737290776042645,0.006737290776042645
days_to_checkin,0.006257612566983252,0.006257612566983252
active_search_days,0.006015767446959293,0.006015767446959293
cluster_max_member_share,0.005409594201040447,0.005409594201040447
expected_completion_fraction,0.0048093475924894874,0.0048093475924894874
pickup_14d,0.0031924693421672696,0.0031924693421672696
pickup_7d,0.0031134656772762396,0.0031134656772762396
is_weekend,0.003064605490699263,0.003064605490699263
province_code,0.0028398859974454564,0.0028398859974454564
pickup_1d,0.0022299486078124053,0.0022299486078124053
pickup_3d,0.0016590917340535893,0.0016590917340535893
pickup_acceleration_7d,0.0014166866515009226,0.0014166866515009226
pickup_surprise,0.0011764846926723364,0.0011764846926723364
pickup_3d_over_7d,0.0008958046359245043,0.0008958046359245043
pickup_velocity_7d,0.0004043089449841502,0.0004043089449841502
n_cities_in_cluster,0.0,0.0
