feature,importance,share
city_code,0.45513310883371894,0.45513310883371894
observed_total,0.24625672826260567,0.24625672826260567
pickup_baseline_remaining,0.149789023749979,0.149789023749979
active_search_days,0.04802429132511207,0.04802429132511207
days_since_last_search,0.03136761731997137,0.03136761731997137
expected_completion_fraction,0.015190440891095558,0.015190440891095558
jalali_month,0.00993326767557061,0.00993326767557061
province_observed_total,0.009493445473843686,0.009493445473843686
days_to_checkin,0.009190395594248722,0.009190395594248722
province_code,0.008435109298765507,0.008435109298765507
city_share_of_market,0.007816020066053768,0.007816020066053768
jalali_day,0.002971854236002324,0.002971854236002324
checkin_weekday,0.0025192405406576635,0.0025192405406576635
pickup_surprise,0.001465462954545243,0.001465462954545243
is_weekend,0.001038178917510724,0.001038178917510724
pickup_14d,0.0003193967801570844,0.0003193967801570844
pickup_1d,0.0002952829255040243,0.0002952829255040243
pickup_3d,0.0002746731318016556,0.0002746731318016556
pickup_acceleration_7d,0.00019928439922903518,0.00019928439922903518
pickup_7d,0.00014438129030830383,0.00014438129030830383
pickup_3d_over_7d,0.0001294325093829704,0.0001294325093829704
pickup_velocity_7d,1.3363823936074798e-05,1.3363823936074798e-05
