feature,importance,share
cluster_min_member_volume,0.35151485542621175,0.3515148554262118
city_hist_mean,0.3381649348172402,0.33816493481724025
city_hist_std,0.09292461087678183,0.09292461087678185
pickup_baseline_remaining,0.06332586817370335,0.06332586817370336
city_code,0.047257329843766634,0.04725732984376665
city_weekday_mean,0.01999325393824926,0.019993253938249262
pickup_baseline_prediction,0.012127606012922409,0.012127606012922412
city_hist_p90,0.008930445740592024,0.008930445740592026
jalali_month,0.008297113761599662,0.008297113761599664
city_weekend_ratio,0.00633022540941602,0.006330225409416022
city_hist_p75,0.005894061878103502,0.005894061878103504
observed_total,0.005804986792812222,0.005804986792812223
city_volatility,0.003654460098288048,0.0036544600982880487
days_since_last_search,0.0034105250312311004,0.0034105250312311012
lat,0.002604291055916325,0.0026042910559163253
city_hist_median,0.002579058003612277,0.0025790580036122775
long,0.002266672767110304,0.0022666727671103045
days_to_checkin,0.0021208528205502656,0.002120852820550266
city_share_of_market,0.001998898527962211,0.0019988985279622115
jalali_day,0.0015404043264501265,0.001540404326450127
expected_completion_fraction,0.0015293514680162236,0.001529351468016224
active_search_days,0.0014978062085584786,0.001497806208558479
checkin_weekday,0.0013359913872844306,0.0013359913872844308
checkin_day_of_month,0.0012887455569348635,0.0012887455569348637
city_share_of_province,0.0010422832334314762,0.0010422832334314764
market_pickup_acceleration_7d,0.0009534242440079987,0.0009534242440079989
province_observed_total,0.0008416787825791751,0.0008416787825791753
market_observed_total,0.0008246612440352334,0.0008246612440352336
days_since_first_search,0.0007674340837964352,0.0007674340837964354
province_code,0.000690571216900277,0.0006905712169002771
market_pickup_3d,0.0006869125617293523,0.0006869125617293524
province_pickup_14d,0.0006649813711611315,0.0006649813711611316
is_weekend,0.0006358004234788397,0.0006358004234788398
province_pickup_3d,0.0006319545268759926,0.0006319545268759927
market_pickup_1d,0.000589901353123305,0.0005899013531233051
expected_remaining_fraction,0.00048796791102427974,0.00048796791102427984
province_pickup_1d,0.00046404921370425353,0.00046404921370425364
market_pickup_14d,0.0004395866009587663,0.0004395866009587664
market_pickup_7d,0.00039966856870844746,0.00039966856870844757
province_pickup_7d,0.00035454669194501085,0.0003545466919450109
market_pickup_acceleration_3d,0.0003362432184822068,0.00033624321848220684
pickup_surprise,0.0003233008744613959,0.000323300874461396
pickup_3d,0.0002994024752340571,0.0002994024752340572
province_pickup_acceleration_7d,0.00028767247085108815,0.0002876724708510882
search_span,0.0002505429922101807,0.00025054299221018074
mean_daily_search,0.00017603455251048174,0.00017603455251048177
pickup_7d_share,0.00015096216219608033,0.00015096216219608036
province_pickup_velocity_3d,0.0001419440385315696,0.00014194403853156964
pickup_1d_share,0.00013981589199690494,0.00013981589199690497
province_pickup_acceleration_3d,0.0001240056504530882,0.00012400565045308823
std_daily_search,0.00010560861289235047,0.0001056086128923505
market_pickup_velocity_3d,0.0001021116829301541,0.00010211168293015413
max_daily_search,8.789282977268572e-05,8.789282977268573e-05
pickup_1d,8.44235817779686e-05,8.442358177796862e-05
market_pickup_velocity_7d,8.374331909773166e-05,8.374331909773168e-05
pickup_3d_share,8.221892516335544e-05,8.221892516335545e-05
province_pickup_velocity_14d,8.165074209081182e-05,8.165074209081183e-05
market_pickup_velocity_14d,6.944595629827529e-05,6.94459562982753e-05
province_pickup_velocity_7d,5.9488548271994276e-05,5.948854827199429e-05
pickup_acceleration_7d,4.110746471058143e-05,4.1107464710581436e-05
pickup_14d,3.584469121487518e-05,3.5844691214875184e-05
pickup_7d,3.2046806547748197e-05,3.20468065477482e-05
pickup_acceleration_3d,1.834055190664709e-05,1.8340551906647093e-05
pickup_velocity_3d,7.318826187778026e-06,7.318826187778028e-06
pickup_velocity_14d,4.392278188242932e-06,4.392278188242933e-06
pickup_velocity_7d,4.026538133408917e-06,4.0265381334089175e-06
pickup_3d_over_7d,2.642367114836055e-06,2.6423671148360552e-06
cluster_max_member_share,0.0,0.0
n_cities_in_cluster,0.0,0.0
