feature,importance,share
pickup_baseline_remaining,0.8057475898101424,0.8057475898101424
city_share_of_market,0.0627991358740167,0.0627991358740167
observed_total,0.02175555846696373,0.02175555846696373
pickup_7d,0.021041905609980253,0.021041905609980253
pickup_velocity_7d,0.016937602968315403,0.016937602968315403
city_code,0.013721254824342295,0.013721254824342295
expected_completion_fraction,0.010949049544398645,0.010949049544398645
pickup_3d,0.009492978935556019,0.009492978935556019
pickup_14d,0.009387054048953257,0.009387054048953257
jalali_month,0.008177631523642065,0.008177631523642065
jalali_day,0.004046815960855316,0.004046815960855316
active_search_days,0.0026497186767463522,0.0026497186767463522
is_weekend,0.002549761961234422,0.002549761961234422
days_to_checkin,0.002299167166954832,0.002299167166954832
province_observed_total,0.002045746418409865,0.002045746418409865
checkin_weekday,0.001757240157916981,0.001757240157916981
pickup_1d,0.0014319305612720237,0.0014319305612720237
pickup_surprise,0.0009429287155299933,0.0009429287155299933
pickup_acceleration_7d,0.0006804499990737006,0.0006804499990737006
province_code,0.0006572390765439231,0.0006572390765439231
pickup_3d_over_7d,0.0005747205887378485,0.0005747205887378485
days_since_last_search,0.0003545191104139987,0.0003545191104139987
