booking_day,unit_code,zone,room_nights,tariff,site_visits,public_holiday,beds
2024-09-01,U00,zone_0,13,72.1,89,1,18
2024-09-02,U00,zone_0,26,67.2,128,1,18
2024-09-03,U00,zone_0,15,83.01,102,0,18
2024-09-04,U00,zone_0,14,62.12,117,0,18
2024-09-05,U00,zone_0,11,73.24,73,0,18
2024-09-06,U00,zone_0,6,69.3,60,0,18
2024-09-07,U00,zone_0,17,68.26,74,0,18
2024-09-08,U00,zone_0,18,75.23,82,0,18
2024-09-09,U00,zone_0,18,61.09,165,0,18
2024-09-10,U00,zone_0,26,65.18,150,0,18
2024-09-11,U00,zone_0,22,69.44,124,0,18
2024-09-12,U00,zone_0,11,78.53,66,0,18
2024-09-13,U00,zone_0,9,70.44,77,0,18
2024-09-14,U00,zone_0,11,74.39,69,0,18
2024-09-15,U00,zone_0,15,60.87,95,0,18
2024-09-16,U00,zone_0,16,63.93,145,0,18
2024-09-17,U00,zone_0,21,74.75,131,0,18
2024-09-18,U00,zone_0,14,66.92,130,0,18
2024-09-19,U00,zone_0,17,69.69,86,0,18
2024-09-20,U00,zone_0,7,73.58,59,0,18
2024-09-21,U00,zone_0,14,59.2,73,0,18
2024-09-22,U00,zone_0,17,64.11,117,0,18
2024-09-23,U00,zone_0,20,69.54,118,0,18
2024-09-24,U00,zone_0,20,62.42,148,0,18
2024-09-25,U00,zone_0,20,66.52,130,0,18
2024-09-26,U00,zone_0,14,69.79,72,0,18
2024-09-27,U00,zone_0,7,66.74,60,0,18
2024-09-28,U00,zone_0,9,68.68,77,0,18
2024-09-29,U00,zone_0,14,70.2,112,0,18
2024-09-30,U00,zone_0,10,76.52,116,0,18
2024-10-01,U00,zone_0,14,77.74,144,0,18
2024-10-02,U00,zone_0,13,68.07,102,0,18
2024-10-03,U00,zone_0,17,65.94,109,0,18
2024-10-04,U00,zone_0,13,74.36,60,0,18
2024-10-05,U00,zone_0,9,72.5,86,0,18
2024-10-06,U00,zone_0,19,71.22,97,0,18
2024-10-07,U00,zone_0,29,65.55,168,0,18
2024-10-08,U00,zone_0,13,73.16,159,0,18
2024-10-09,U00,zone_0,12,74.27,127,0,18
2024-10-10,U00,zone_0,12,61.25,101,0,18
2024-10-11,U00,zone_0,14,74.99,63,1,18
2024-10-12,U00,zone_0,13,69.64,70,1,18
2024-10-13,U00,zone_0,15,66.36,135,0,18
2024-10-14,U00,zone_0,19,62.27,171,0,18
2024-10-15,U00,zone_0,21,68.33,139,0,18
2024-10-16,U00,zone_0,13,69.7,135,0,18
2024-10-17,U00,zone_0,14,68.16,98,0,18
2024-10-18,U00,zone_0,8,64.1,90,0,18
2024-10-19,U00,zone_0,9,64.14,68,0,18
2024-10-20,U00,zone_0,18,73.46,122,0,18
2024-10-21,U00,zone_0,19,70.23,127,0,18
2024-10-22,U00,zone_0,24,71.39,166,0,18
2024-10-23,U00,zone_0,22,73.08,125,0,18
2024-10-24,U00,zone_0,12,73.52,109,0,18
2024-10-25,U00,zone_0,9,78.5,57,0,18
2024-10-26,U00,zone_0,9,69.65,79,0,18
2024-10-27,U00,zone_0,17,68.73,122,0,18
2024-10-28,U00,zone_0,24,65.3,157,0,18
